time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
10,1,2,199999,0.042000,1,9
20,1,1,200000,0.043000,2,11
30,2,2,199999,0.023000,3,10
40,1,1,200000,0.001000,4,7
50,3,2,199999,0.023000,5,10
60,1,1,200000,0.021000,6,10
70,2,2,199999,0.023000,7,8
80,1,1,200000,0.022000,8,9
90,4,7,199994,0.043000,9,7
100,3,8,199993,0.004000,10,7
110,1,9,199992,0.003000,11,7
120,1,7,199994,0.022000,12,6
130,1,6,199995,0.003000,13,8
140,2,6,199995,0.023000,14,9
150,2,5,199996,0.023000,15,8
160,1,4,199997,0.025000,16,10
170,1,4,199997,0.022000,17,9
180,1,5,199996,0.023000,18,9
190,1,3,199998,0.004000,19,9
200,2,4,199997,0.024000,20,8
210,1,6,199995,0.002000,21,3
220,1,5,199996,0.023000,22,8
230,1,5,199996,0.004000,23,9
240,2,3,199998,0.024000,24,10
250,3,6,199995,0.026000,25,9
260,1,6,199995,0.003000,26,7
270,3,6,199995,0.026000,27,10
280,1,6,199995,0.026000,28,10
290,1,7,199994,0.025000,29,8
300,2,7,199994,0.024000,30,8
310,1,5,199996,0.048000,31,12
320,2,6,199995,0.025000,32,9
330,1,4,199997,0.004000,33,11
340,1,4,199997,0.024000,34,8
350,2,4,199997,0.022000,35,8
360,1,3,199998,0.002000,36,5
370,1,3,199998,0.022000,37,8
380,1,3,199998,0.022000,38,9
390,1,4,199997,0.023000,39,6
400,1,6,199995,0.022000,40,9
410,4,3,199998,0.024000,41,13
420,2,7,199994,0.023000,42,8
430,3,9,199992,0.044000,43,10
440,2,6,199995,0.024000,44,10
450,3,7,199994,0.031000,45,9
460,1,10,199991,0.027000,46,9
470,1,9,199992,0.052000,47,11
480,1,9,199992,0.025000,48,10
490,1,9,199992,0.003000,49,6
500,2,7,199994,0.025000,50,10
510,2,5,199996,0.025000,51,11
520,1,6,199995,0.025000,52,8
530,1,4,199997,0.003000,53,11
540,1,4,199997,0.003000,54,9
550,3,2,199999,0.025000,55,12
560,1,4,199997,0.024000,56,9
570,1,3,199998,0.025000,57,10
580,1,4,199997,0.023000,58,8
590,1,6,199995,0.024000,59,9
600,6,6,199995,0.026000,60,9
610,2,21,199980,0.005000,61,10
620,1,18,199983,0.026000,62,10
630,1,18,199983,0.005000,63,10
640,1,15,199986,0.004000,64,9
650,3,20,199981,0.025000,65,7
660,2,18,199983,0.026000,66,10
670,1,15,199986,0.027000,67,12
680,4,12,199989,0.047000,68,12
690,2,11,199990,0.027000,69,12
700,2,7,199994,0.025000,70,13
710,4,7,199994,0.024000,71,9
720,1,8,199993,0.004000,72,7
730,1,7,199994,0.004000,73,9
740,1,6,199995,0.024000,74,10
750,2,6,199995,0.025000,75,11
760,1,4,199997,0.023000,76,11
770,1,7,199994,0.004000,77,10
780,1,6,199995,0.024000,78,11
790,1,5,199996,0.027000,79,11
800,1,5,199996,0.025000,80,10
810,2,4,199997,0.024000,81,11
820,1,3,199998,0.003000,82,9
830,1,3,199998,0.024000,83,9
840,1,4,199997,0.024000,84,8
850,1,3,199998,0.024000,85,10
860,7,5,199996,0.046000,86,8
870,1,5,199996,0.025000,87,11
880,1,3,199998,0.025000,88,12
890,1,4,199997,0.025000,89,7
900,1,3,199998,0.025000,90,8
910,2,3,199998,0.024000,91,8
920,1,2,199999,0.022000,92,11
930,2,2,199999,0.022000,93,10
940,2,2,199999,0.022000,94,8
950,1,3,199998,0.022000,95,9
960,2,2,199999,0.023000,96,11
970,1,3,199998,0.003000,97,8
980,3,3,199998,0.024000,98,10
990,2,5,199996,0.042000,99,8
1000,1,3,199998,0.024000,100,12
1010,2,2,199999,0.023000,101,10
1020,2,3,199998,0.022000,102,9
1030,3,4,199997,0.025000,103,10
1040,1,7,199994,0.003000,104,8
1050,1,5,199996,0.005000,105,11
1060,1,3,199998,0.003000,106,8
1070,1,5,199996,0.022000,107,9
1080,3,4,199997,0.024000,108,10
1090,1,2,199999,0.023000,109,11
1100,3,1,200000,0.023000,110,8
1110,10,5,199996,0.043000,111,5
1120,6,13,199988,0.026000,112,10
1130,1,11,199990,0.003000,113,8
1140,1,7,199994,0.003000,114,9
1150,1,6,199995,0.002000,115,7
1160,6,16,199985,0.125000,116,10
1170,3,17,199984,0.031000,117,13
1180,3,13,199988,0.030000,118,14
1190,4,12,199989,0.026000,119,8
1200,1,11,199990,0.025000,120,9
1210,2,9,199992,0.027000,121,12
1220,1,8,199993,0.004000,122,8
1230,1,7,199994,0.024000,123,6
1240,1,6,199995,0.005000,124,11
1250,3,5,199996,0.025000,125,9
1260,3,6,199995,0.046000,126,10
1270,1,7,199994,0.003000,127,6
1280,1,7,199994,0.025000,128,11
1290,2,5,199996,0.024000,129,11
1300,1,6,199995,0.022000,130,8
1310,1,5,199996,0.023000,131,8
1320,2,4,199997,0.024000,132,10
1330,2,4,199997,0.023000,133,9
1340,2,3,199998,0.025000,134,11
1350,2,4,199997,0.026000,135,8
1360,1,3,199998,0.023000,136,11
1370,1,2,199999,0.023000,137,11
1380,2,3,199998,0.024000,138,9
1390,1,2,199999,0.023000,139,11
1400,3,2,199999,0.023000,140,7
1410,1,2,199999,0.022000,141,10
1420,3,2,199999,0.022000,142,9
1430,2,2,199999,0.022000,143,10
1440,1,2,199999,0.024000,144,10
1450,2,1,200000,0.022000,145,11
1460,2,1,200000,0.023000,146,9
1470,1,1,200000,0.023000,147,9
1480,2,3,199998,0.022000,148,8
1490,1,2,199999,0.023000,149,11
1500,2,3,199998,0.024000,150,9
1510,2,3,199998,0.024000,151,9
1520,2,3,199998,0.025000,152,10
1530,1,3,199998,0.025000,153,8
1540,2,3,199998,0.044000,154,10
1550,1,1,200000,0.024000,155,11
1560,1,1,200000,0.024000,156,10
1570,1,3,199998,0.022000,157,7
1580,1,4,199997,0.004000,158,9
1590,2,3,199998,0.023000,159,9
1600,1,2,199999,0.023000,160,11
1610,6,3,199998,0.044000,161,8
1620,1,3,199998,0.003000,162,6
1630,1,3,199998,0.024000,163,9
1640,1,3,199998,0.023000,164,10
1650,2,3,199998,0.043000,165,9
1660,3,4,199997,0.043000,166,10
1670,1,2,199999,0.023000,167,12
1680,1,3,199998,0.004000,168,8
1690,2,2,199999,0.023000,169,11
1700,1,2,199999,0.024000,170,10
1710,1,3,199998,0.003000,171,8
1720,1,2,199999,0.022000,172,10
1730,1,2,199999,0.022000,173,8
1740,1,1,200000,0.002000,174,10
1750,1,2,199999,0.023000,175,8
1760,3,3,199998,0.044000,176,10
1770,2,1,200000,0.023000,177,11
1780,3,2,199999,0.023000,178,9
1790,1,1,200000,0.022000,179,10
1800,1,1,200000,0.003000,180,7
1810,1,1,200000,0.023000,181,9
1820,2,3,199998,0.024000,182,10
1830,1,7,199994,0.022000,183,4
1840,1,4,199997,0.023000,184,12
1850,1,2,199999,0.022000,185,11
1860,1,1,200000,0.003000,186,8
1870,2,1,200000,0.021000,187,8
1880,1,1,200000,0.023000,188,9
1890,1,1,200000,0.022000,189,10
1900,2,1,200000,0.023000,190,10
1910,1,3,199998,0.023000,191,8
1920,2,2,199999,0.022000,192,10
1930,1,1,200000,0.022000,193,11
1940,1,2,199999,0.022000,194,7
1950,2,2,199999,0.023000,195,9
1960,2,1,200000,0.022000,196,10
1970,1,1,200000,0.002000,197,9
1980,1,3,199998,0.003000,198,8
1990,1,4,199997,0.023000,199,11
2000,1,2,199999,0.002000,200,9
2010,1,4,199997,0.002000,201,6
2020,3,2,199999,0.024000,202,11
2030,1,4,199997,0.022000,203,7
2040,2,4,199997,0.023000,204,9
2050,1,2,199999,0.004000,205,10
2060,1,1,200000,0.023000,206,10
2070,6,7,199994,0.045000,207,10
2080,4,12,199989,0.003000,208,6
2090,1,20,199981,0.024000,209,8
2100,2,20,199981,0.024000,210,10
2110,1,16,199985,0.025000,211,13
2120,2,12,199989,0.026000,212,12
2130,2,11,199990,0.025000,213,11
2140,2,12,199989,0.023000,214,9
2150,1,10,199991,0.025000,215,13
2160,1,8,199993,0.023000,216,12
2170,1,6,199995,0.024000,217,11
2180,1,6,199995,0.004000,218,7
2190,1,7,199994,0.003000,219,6
2200,1,4,199997,0.024000,220,12
2210,1,3,199998,0.024000,221,11
2220,2,4,199997,0.024000,222,8
2230,1,3,199998,0.024000,223,11
2240,1,4,199997,0.024000,224,9
2250,1,3,199998,0.004000,225,9
2260,2,2,199999,0.025000,226,8
2270,2,3,199998,0.024000,227,7
2280,2,11,199990,0.026000,228,7
2290,2,8,199993,0.024000,229,9
2300,1,6,199995,0.025000,230,11
2310,2,6,199995,0.025000,231,9
2320,1,6,199995,0.023000,232,10
2330,1,5,199996,0.024000,233,11
2340,1,5,199996,0.022000,234,9
2350,2,5,199996,0.022000,235,9
2360,1,4,199997,0.022000,236,10
2370,1,3,199998,0.022000,237,11
2380,2,3,199998,0.024000,238,10
2390,1,3,199998,0.023000,239,11
2400,1,2,199999,0.024000,240,12
2410,1,2,199999,0.024000,241,10
2420,1,1,200000,0.023000,242,11
2430,1,2,199999,0.002000,243,7
2440,1,1,200000,0.023000,244,11
2450,1,1,200000,0.022000,245,10
2460,1,2,199999,0.003000,246,7
2470,1,1,200000,0.002000,247,10
2480,3,1,200000,0.023000,248,10
2490,1,3,199998,0.003000,249,8
2500,1,2,199999,0.003000,250,9
2510,1,1,200000,0.022000,251,11
2520,1,2,199999,0.022000,252,8
2530,1,1,200000,0.023000,253,11
2540,1,5,199996,0.003000,254,7
2550,1,4,199997,0.022000,255,9
2560,1,3,199998,0.022000,256,10
2570,1,3,199998,0.004000,257,9
2580,3,3,199998,0.023000,258,8
2590,1,3,199998,0.022000,259,9
2600,1,2,199999,0.022000,260,10
2610,4,2,199999,0.022000,261,10
2620,1,4,199997,0.022000,262,7
2630,1,2,199999,0.023000,263,11
2640,1,2,199999,0.022000,264,9
2650,1,3,199998,0.022000,265,7
2660,1,2,199999,0.022000,266,11
2670,1,2,199999,0.024000,267,11
2680,2,2,199999,0.022000,268,10
2690,1,2,199999,0.023000,269,8
2700,1,2,199999,0.002000,270,7
2710,1,1,200000,0.022000,271,11
2720,1,1,200000,0.022000,272,10
2730,1,2,199999,0.022000,273,9
2740,1,1,200000,0.025000,274,10
2750,2,2,199999,0.022000,275,9
2760,1,1,200000,0.021000,276,10
2770,10,6,199995,0.045000,277,8
2780,1,8,199993,0.022000,278,7
2790,1,6,199995,0.003000,279,8
2800,2,7,199994,0.023000,280,6
2810,1,8,199993,0.023000,281,10
2820,1,7,199994,0.005000,282,10
2830,2,7,199994,0.023000,283,9
2840,1,7,199994,0.024000,284,9
2850,2,9,199992,0.023000,285,10
2860,2,6,199995,0.024000,286,11
2870,1,5,199996,0.025000,287,11
2880,1,6,199995,0.025000,288,10
2890,1,4,199997,0.024000,289,11
2900,1,5,199996,0.024000,290,8
2910,1,3,199998,0.003000,291,11
2920,3,3,199998,0.023000,292,9
2930,3,3,199998,0.026000,293,10
2940,2,3,199998,0.024000,294,9
2950,1,4,199997,0.023000,295,9
2960,2,3,199998,0.024000,296,11
2970,2,2,199999,0.024000,297,11
2980,2,5,199996,0.059000,298,8
2990,2,5,199996,0.022000,299,8
3000,1,3,199998,0.022000,300,10
3010,3,3,199998,0.022000,301,10
3020,1,5,199996,0.023000,302,10
3030,1,5,199996,0.023000,303,10
3040,2,3,199998,0.023000,304,12
3050,1,2,199999,0.022000,305,11
3060,2,3,199998,0.023000,306,9
3070,1,2,199999,0.022000,307,10
3080,1,2,199999,0.023000,308,10
3090,1,2,199999,0.023000,309,10
3100,1,2,199999,0.023000,310,10
3110,1,2,199999,0.022000,311,10
3120,7,9,199992,0.103000,312,9
3130,3,24,199977,0.003000,313,5
3140,1,31,199970,0.044000,314,10
3150,1,28,199973,0.025000,315,12
3160,1,25,199976,0.025000,316,12
3170,1,25,199976,0.024000,317,10
3180,3,20,199981,0.025000,318,14
3190,1,15,199986,0.006000,319,14
3200,2,14,199987,0.024000,320,11
3210,1,12,199989,0.023000,321,12
3220,2,11,199990,0.024000,322,11
3230,1,12,199989,0.023000,323,9
3240,1,13,199988,0.023000,324,9
3250,1,9,199992,0.006000,325,13
3260,1,8,199993,0.005000,326,11
3270,2,5,199996,0.025000,327,12
3280,2,4,199997,0.023000,328,10
3290,4,4,199997,0.024000,329,10
3300,1,3,199998,0.023000,330,11
3310,1,3,199998,0.023000,331,10
3320,1,2,199999,0.022000,332,9
3330,3,3,199998,0.042000,333,9
3340,2,2,199999,0.023000,334,11
3350,1,2,199999,0.002000,335,9
3360,1,7,199994,0.022000,336,7
3370,1,6,199995,0.024000,337,12
3380,2,4,199997,0.023000,338,12
3390,2,5,199996,0.022000,339,7
3400,5,4,199997,0.023000,340,8
3410,1,3,199998,0.023000,341,12
3420,2,1,200000,0.023000,342,12
3430,2,1,200000,0.022000,343,9
3440,3,2,199999,0.023000,344,8
3450,1,2,199999,0.025000,345,11
3460,3,3,199998,0.024000,346,9
3470,1,3,199998,0.022000,347,9
3480,2,3,199998,0.022000,348,10
3490,1,2,199999,0.024000,349,10
3500,1,1,200000,0.023000,350,11
3510,1,2,199999,0.034000,351,9
3520,1,2,199999,0.024000,352,10
3530,1,1,200000,0.025000,353,10
3540,1,7,199994,0.024000,354,8
3550,1,3,199998,0.004000,355,13
3560,2,2,199999,0.025000,356,10
3570,2,5,199996,0.046000,357,8
3580,1,1,200000,0.025000,358,14
3590,1,2,199999,0.024000,359,8
3600,1,2,199999,0.022000,360,11
3610,3,3,199998,0.023000,361,10
3620,2,2,199999,0.023000,362,9
3630,3,3,199998,0.022000,363,7
3640,1,2,199999,0.022000,364,11
3650,2,1,200000,0.022000,365,11
3660,1,3,199998,0.002000,366,6
3670,2,3,199998,0.043000,367,11
3680,2,1,200000,0.023000,368,12
3690,2,2,199999,0.041000,369,10
3700,2,3,199998,0.043000,370,10
3710,2,3,199998,0.022000,371,9
3720,1,5,199996,0.023000,372,6
3730,1,2,199999,0.004000,373,11
3740,1,2,199999,0.022000,374,10
3750,2,4,199997,0.024000,375,7
3760,2,4,199997,0.023000,376,9
3770,6,5,199996,0.044000,377,7
3780,3,7,199994,0.024000,378,6
3790,1,6,199995,0.002000,379,5
3800,2,6,199995,0.024000,380,9
3810,1,7,199994,0.002000,381,3
3820,2,6,199995,0.025000,382,9
3830,2,3,199998,0.023000,383,5
3840,2,3,199998,0.023000,384,5
3850,3,4,199997,0.022000,385,5
3860,1,4,199997,0.002000,386,5
3870,4,4,199997,0.022000,387,5
