time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
10,3,0,200001,0.044000,1,10
20,6,8,199993,0.006000,2,8
30,1,7,199994,0.045000,3,13
40,5,8,199993,0.025000,4,11
50,1,9,199992,0.023000,5,10
60,10,10,199991,0.045000,6,11
70,1,10,199991,0.023000,7,10
80,1,10,199991,0.023000,8,10
90,4,10,199991,0.023000,9,11
100,4,10,199991,0.024000,10,11
110,6,11,199990,0.044000,11,9
120,7,10,199991,0.026000,12,11
130,1,19,199982,0.044000,13,8
140,2,15,199986,0.044000,14,14
150,2,14,199987,0.024000,15,11
160,4,19,199982,0.046000,16,10
170,1,20,199981,0.024000,17,9
180,7,25,199976,0.092000,18,13
190,10,26,199975,0.026000,19,10
200,1,27,199974,0.026000,20,10
210,19,26,199975,0.027000,21,10
220,13,27,199974,0.028000,22,10
230,1,34,199967,0.047000,23,12
240,2,35,199966,0.048000,24,13
250,3,37,199964,0.069000,25,12
260,10,45,199956,0.265000,26,10
270,2,46,199955,0.051000,27,12
280,7,44,199957,0.031000,28,12
290,2,64,199937,0.062000,29,11
300,7,64,199937,0.049000,30,13
310,23,74,199927,0.208000,31,12
320,12,92,199909,0.107000,32,17
330,3,83,199918,0.056000,33,23
340,1,78,199923,0.031000,34,17
350,4,78,199923,0.029000,35,12
360,17,83,199918,0.083000,36,15
370,33,90,199911,0.104000,37,14
380,18,87,199914,0.056000,38,16
390,32,99,199902,0.137000,39,14
400,9,94,199907,0.039000,40,18
410,22,136,199865,0.254000,41,12
420,27,136,199865,0.144000,42,22
430,37,148,199853,0.284000,43,21
440,8,139,199862,0.032000,44,21
450,13,136,199865,0.033000,45,18
460,27,156,199845,0.184000,46,12
470,28,162,199839,0.143000,47,19
480,28,164,199837,0.111000,48,25
490,30,169,199832,0.126000,49,18
500,22,195,199806,0.460000,50,13
510,19,195,199806,0.118000,51,30
520,19,180,199821,0.052000,52,25
530,13,258,199743,0.949000,53,12
540,29,269,199732,0.129000,54,23
550,30,266,199735,0.056000,55,19
560,5,275,199726,0.097000,56,19
570,12,267,199734,0.020000,57,21
580,2,268,199733,0.039000,58,19
590,7,268,199733,0.052000,59,17
600,9,285,199716,0.404000,60,16
610,31,292,199709,0.151000,61,16
620,29,307,199694,0.428000,62,20
630,15,299,199702,0.057000,63,27
640,38,315,199686,0.492000,64,15
650,17,391,199610,0.237000,65,20
660,30,403,199598,0.220000,66,24
670,18,394,199607,0.098000,67,35
680,3,405,199596,0.040000,68,22
690,6,385,199616,0.059000,69,36
700,13,392,199609,0.062000,70,21
710,22,408,199593,0.425000,71,16
720,20,409,199592,0.255000,72,23
730,15,418,199583,0.114000,73,20
740,16,416,199585,0.086000,74,27
750,20,426,199575,0.087000,75,15
760,8,446,199555,0.067000,76,21
770,18,441,199560,0.128000,77,32
780,12,430,199571,0.066000,78,24
790,38,449,199552,0.182000,79,14
800,16,453,199548,0.142000,80,22
810,14,461,199540,0.093000,81,20
820,7,449,199552,0.084000,82,32
830,19,453,199548,0.094000,83,23
840,27,451,199550,0.118000,84,19
850,18,462,199539,0.105000,85,19
860,16,468,199533,0.178000,86,22
870,21,448,199553,0.075000,87,33
880,22,460,199541,0.137000,88,26
890,14,449,199552,0.159000,89,28
900,3,440,199561,0.067000,90,24
910,20,449,199552,0.151000,91,29
920,10,445,199556,0.095000,92,24
930,2,438,199563,0.037000,93,24
940,21,432,199569,0.080000,94,19
950,19,439,199562,0.129000,95,22
960,15,443,199558,0.063000,96,16
970,20,461,199540,0.138000,97,16
980,16,460,199541,0.124000,98,24
990,28,531,199470,0.310000,99,15
1000,18,532,199469,0.114000,100,28
1010,32,568,199433,0.118000,101,20
1020,22,609,199392,0.111000,102,29
1030,26,603,199398,0.120000,103,24
1040,10,655,199346,0.085000,104,23
1050,22,670,199331,0.216000,105,14
1060,22,677,199324,0.142000,106,21
1070,21,709,199292,0.164000,107,25
1080,20,708,199293,0.122000,108,20
1090,30,737,199264,0.711000,109,15
1100,16,746,199255,0.130000,110,27
1110,10,754,199247,0.122000,111,26
1120,5,778,199223,0.112000,112,19
1130,3,762,199239,0.071000,113,39
1140,19,837,199164,1.596000,114,32
1150,22,836,199165,0.139000,115,28
1160,13,829,199172,0.105000,116,21
1170,9,821,199180,0.078000,117,25
1180,1,802,199199,0.048000,118,37
1190,22,806,199195,0.125000,119,14
1200,1,835,199166,0.039000,120,20
1210,4,819,199182,0.069000,121,28
1220,11,808,199193,0.083000,122,24
1230,20,854,199147,0.192000,123,16
1240,20,853,199148,0.374000,124,22
1250,14,839,199162,0.123000,125,29
1260,26,838,199163,0.113000,126,14
1270,9,815,199186,0.045000,127,33
1280,6,804,199197,0.015000,128,22
1290,8,793,199208,0.053000,129,21
1300,7,776,199225,0.057000,130,26
1310,4,767,199234,0.041000,131,22
1320,3,753,199248,0.040000,132,24
1330,7,765,199236,0.050000,133,18
1340,1,756,199245,0.034000,134,19
1350,3,753,199248,0.036000,135,13
