time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
10,2,7,199994,0.046000,1,10
20,9,12,199989,0.055000,2,11
30,9,9,199992,0.027000,3,13
40,14,16,199985,0.087000,4,10
50,1,14,199987,0.047000,5,14
60,10,13,199988,0.027000,6,12
70,15,15,199986,0.066000,7,12
80,16,13,199988,0.028000,8,12
90,3,12,199989,0.045000,9,11
100,12,14,199987,0.025000,10,9
110,11,14,199987,0.027000,11,13
120,4,14,199987,0.026000,12,10
130,5,12,199989,0.027000,13,12
140,3,12,199989,0.028000,14,11
150,6,11,199990,0.026000,15,12
160,6,14,199987,0.026000,16,10
170,9,12,199989,0.027000,17,13
180,6,12,199989,0.047000,18,12
190,9,16,199985,0.027000,19,12
200,12,15,199986,0.063000,20,15
210,2,18,199983,0.090000,21,14
220,2,13,199988,0.027000,22,15
230,2,13,199988,0.028000,23,10
240,12,16,199985,0.050000,24,10
250,6,14,199987,0.027000,25,12
260,3,14,199987,0.028000,26,11
270,15,14,199987,0.028000,27,9
280,5,17,199984,0.029000,28,10
290,2,18,199983,0.028000,29,13
300,3,17,199984,0.029000,30,12
310,5,15,199986,0.027000,31,14
320,5,13,199988,0.026000,32,12
330,7,13,199988,0.029000,33,11
340,7,13,199988,0.039000,34,9
350,16,14,199987,0.029000,35,11
360,1,17,199984,0.039000,36,12
370,11,13,199988,0.028000,37,15
380,7,16,199985,0.046000,38,11
390,7,19,199982,0.047000,39,12
400,15,17,199984,0.069000,40,16
410,11,16,199985,0.071000,41,13
420,6,15,199986,0.028000,42,14
430,3,18,199983,0.025000,43,11
440,10,20,199981,0.046000,44,13
450,12,17,199984,0.047000,45,15
460,9,15,199986,0.027000,46,13
470,1,16,199985,0.024000,47,10
480,18,14,199987,0.027000,48,11
490,16,18,199983,0.046000,49,10
500,6,14,199987,0.047000,50,15
510,1,15,199986,0.005000,51,10
520,5,13,199988,0.027000,52,12
530,8,15,199986,0.046000,53,11
540,3,12,199989,0.027000,54,13
550,5,14,199987,0.048000,55,10
560,24,16,199985,0.027000,56,12
570,4,17,199984,0.027000,57,11
580,4,16,199985,0.027000,58,13
590,11,16,199985,0.048000,59,11
600,10,19,199982,0.047000,60,9
610,12,16,199985,0.026000,61,13
620,4,14,199987,0.027000,62,12
630,20,13,199988,0.029000,63,12
640,19,13,199988,0.047000,64,10
650,5,17,199984,0.028000,65,11
660,3,16,199985,0.030000,66,13
670,36,18,199983,0.050000,67,10
680,30,17,199984,0.030000,68,12
690,6,16,199985,0.046000,69,12
700,3,20,199981,0.027000,70,10
710,34,22,199979,0.108000,71,11
720,10,24,199977,0.088000,72,13
730,13,23,199978,0.047000,73,14
740,40,17,199984,0.031000,74,15
750,1,16,199985,0.004000,75,10
760,3,17,199984,0.026000,76,12
770,5,15,199986,0.026000,77,13
780,6,20,199981,0.027000,78,10
790,14,16,199985,0.028000,79,12
800,3,15,199986,0.050000,80,12
810,4,17,199984,0.027000,81,12
820,7,19,199982,0.071000,82,13
830,6,18,199983,0.051000,83,14
840,3,19,199982,0.026000,84,13
850,20,15,199986,0.031000,85,15
860,3,15,199986,0.026000,86,11
870,3,18,199983,0.025000,87,10
880,4,16,199985,0.027000,88,12
890,8,20,199981,0.047000,89,10
900,3,17,199984,0.027000,90,14
910,8,17,199984,0.025000,91,11
920,6,17,199984,0.028000,92,11
930,4,19,199982,0.046000,93,10
940,5,15,199986,0.031000,94,15
950,4,14,199987,0.030000,95,11
960,3,13,199988,0.027000,96,11
970,7,17,199984,0.048000,97,8
980,5,18,199983,0.026000,98,11
990,3,17,199984,0.027000,99,13
1000,4,17,199984,0.027000,100,14
1010,4,19,199982,0.025000,101,11
1020,3,20,199981,0.029000,102,14
1030,13,17,199984,0.027000,103,13
1040,2,19,199982,0.026000,104,11
1050,21,22,199979,0.053000,105,12
1060,4,17,199984,0.027000,106,15
1070,4,19,199982,0.046000,107,12
1080,7,18,199983,0.028000,108,11
1090,15,16,199985,0.028000,109,13
1100,4,19,199982,0.045000,110,10
1110,31,17,199984,0.049000,111,13
1120,5,20,199981,0.027000,112,10
1130,5,20,199981,0.027000,113,11
1140,11,21,199980,0.031000,114,11
1150,18,20,199981,0.050000,115,12
1160,7,18,199983,0.051000,116,13
1170,7,21,199980,0.030000,117,10
1180,14,19,199982,0.028000,118,12
1190,3,20,199981,0.028000,119,12
1200,2,19,199982,0.027000,120,14
1210,11,18,199983,0.052000,121,13
1220,4,17,199984,0.029000,122,11
1230,9,19,199982,0.030000,123,11
1240,9,21,199980,0.050000,124,13
1250,18,16,199985,0.032000,125,15
1260,3,17,199984,0.028000,126,10
1270,4,18,199983,0.066000,127,11
1280,10,14,199987,0.027000,128,12
1290,11,16,199985,0.027000,129,10
1300,14,19,199982,0.062000,130,10
1310,5,17,199984,0.029000,131,13
1320,5,16,199985,0.027000,132,13
1330,6,21,199980,0.051000,133,12
1340,1,18,199983,0.026000,134,15
1350,3,16,199985,0.025000,135,11
1360,7,17,199984,0.027000,136,11
1370,8,16,199985,0.047000,137,12
1380,7,16,199985,0.027000,138,11
1390,5,13,199988,0.026000,139,12
1400,3,17,199984,0.026000,140,11
1410,2,17,199984,0.045000,141,15
1420,4,14,199987,0.027000,142,13
1430,5,13,199988,0.025000,143,11
1440,17,13,199988,0.046000,144,11
1450,7,16,199985,0.085000,145,11
1460,14,18,199983,0.047000,146,12
1470,13,24,199977,0.049000,147,11
1480,8,18,199983,0.030000,148,18
1490,8,18,199983,0.027000,149,12
1500,19,18,199983,0.029000,150,14
1510,16,17,199984,0.069000,151,15
1520,12,18,199983,0.047000,152,12
1530,11,16,199985,0.031000,153,15
1540,6,14,199987,0.028000,154,13
1550,2,14,199987,0.025000,155,11
1560,12,19,199982,0.067000,156,10
1570,3,16,199985,0.027000,157,13
1580,2,16,199985,0.025000,158,12
1590,3,18,199983,0.028000,159,11
1600,3,18,199983,0.026000,160,14
1610,11,16,199985,0.067000,161,15
1620,15,16,199985,0.074000,162,13
1630,3,20,199981,0.045000,163,12
1640,11,20,199981,0.028000,164,13
1650,6,18,199983,0.029000,165,14
1660,11,15,199986,0.028000,166,14
1670,6,13,199988,0.026000,167,12
1680,10,16,199985,0.046000,168,9
1690,11,15,199986,0.046000,169,12
1700,6,18,199983,0.066000,170,11
1710,15,20,199981,0.051000,171,14
1720,31,20,199981,0.050000,172,16
