time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
10,37,71,199930,0.713000,1,10
20,37,159,199842,0.354000,2,22
30,37,356,199645,0.499000,3,39
40,37,596,199405,1.019000,4,61
50,37,1334,198667,2.233000,5,81
60,37,2376,197625,19.270000,6,111
70,37,3379,196622,24.605000,7,151
80,37,4467,195534,8.453000,8,197
90,37,5665,194336,3.453000,9,184
100,37,6935,193066,34.671000,10,246
110,37,8821,191180,7.678000,11,305
120,37,15759,184242,40.048000,12,399
130,37,24041,175960,221.215000,13,520
140,37,29806,170195,12.884000,14,612
150,37,31595,168406,15.274000,15,693
160,37,32697,167304,16.782000,16,804
170,37,34398,165603,22.394000,17,911
180,37,33707,166294,23.655000,18,1022
190,37,37688,162313,30.415000,19,1089
200,37,36753,163248,35.027000,20,1219
210,37,39471,160530,39.172000,21,1183
220,37,40397,159604,70.026000,22,1062
230,37,42198,157803,60.662000,23,1077
240,37,42872,157129,54.099000,24,1056
250,37,48519,151482,58.331000,25,1092
260,37,50739,149262,62.942000,26,1177
270,37,89294,110707,279.261000,27,1276
280,37,95924,104077,137.898000,28,1815
283,37,100000,100001,643.973000,31,5047
289,37,100000,100001,198.502000,32,1834
298,37,100000,100001,2020.759000,38,19524
299,37,100000,100001,379.308000,39,3553
300,37,100000,100001,590.795000,41,6175
301,37,100000,100001,108.139000,42,668
302,37,100000,100001,1119.663000,45,12409
309,37,100000,100001,75.331000,46,472
319,37,100000,100001,1388.198000,52,13397
342,37,100000,100001,24.777000,53,21
345,37,100000,100001,6904.051000,75,60831
350,37,100000,100001,371.700000,77,2718
357,37,100000,100001,179.124000,78,1091
387,37,100000,100001,30.554000,79,24
388,37,100000,100001,774.616000,82,5675
389,37,100000,100001,706.927000,86,5106
390,37,100000,100001,313.888000,87,1741
399,37,100000,100001,38.825000,88,21
414,37,100000,100001,124.303000,89,391
431,37,100000,100001,156.267000,90,565
439,37,100000,100001,232.716000,91,1026
443,37,100000,100001,163.779000,92,656
454,37,100000,100001,681.624000,95,3344
457,37,100000,100001,204.742000,96,911
460,37,100000,100001,57.025000,97,73
469,37,100000,100001,3008.251000,110,17206
471,37,100000,100001,336.614000,111,1418
472,37,100000,100001,137.670000,112,504
475,37,100000,100001,781.109000,115,4090
476,37,100000,100001,876.923000,119,6026
488,37,100000,100001,2327.146000,129,15051
490,37,100000,100001,143.599000,130,554
493,37,100000,100001,238.769000,131,1008
513,37,100000,100001,87.224000,132,203
518,37,100000,100001,126.025000,133,434
521,37,100000,100001,11759.267000,175,79509
524,37,100000,100001,61.379000,176,83
530,37,100000,100001,634.104000,179,3394
531,37,100000,100001,577.957000,182,3324
548,37,100000,100001,463.806000,184,1962
551,37,100000,100001,70.507000,185,69
560,37,100000,100001,13636.161000,234,89325
566,37,100000,100001,817.590000,238,4044
575,37,100000,100001,338.709000,240,1291
588,37,100000,100001,143.202000,241,381
595,37,100000,100001,133.538000,242,398
598,37,100000,100001,9079.436000,274,40818
619,37,100000,100001,53.460000,275,55
628,37,100000,100001,102.624000,276,250
636,37,100000,100001,361.508000,278,1367
644,37,100000,100001,207.718000,280,591
646,37,100000,100001,1471.000000,288,5666
651,37,100000,100001,91.196000,289,191
656,37,100000,100001,194.782000,290,495
661,37,100000,100001,73.054000,291,86
