---OutputTable---
time=3195
table_size=2780
[1] - <2 5 9 29 40 44 56 60 > true count=490, estimated count=1952, Key=586755
[2] - <7 9 17 29 58 60 62 66 > true count=1952, estimated count=1952, Key=732090
[3] - <7 36 46 48 52 56 58 60 62 66 > true count=1952, estimated count=1952, Key=886887
[4] - <27 52 60 74 > true count=811, estimated count=1953, Key=249693
[5] - <5 7 25 36 42 52 58 60 62 66 > true count=1952, estimated count=1952, Key=779483
[6] - <2 3 5 7 13 21 23 27 29 34 36 40 44 48 50 52 54 56 58 61 62 64 67 68 70 73 74 > true count=5, estimated count=1952, Key=2427435
[7] - <5 9 25 29 40 42 52 60 66 > true count=1952, estimated count=1952, Key=619866
[8] - <2 25 44 48 52 56 60 66 > true count=491, estimated count=1953, Key=772227
[9] - <5 25 40 46 52 56 60 > true count=1953, estimated count=1953, Key=763262
[10] - <9 29 36 46 52 56 60 66 > true count=1953, estimated count=1953, Key=760604
[11] - <5 34 36 40 46 48 52 58 60 62 66 > true count=1952, estimated count=1952, Key=911415
[12] - <2 5 7 9 11 13 16 17 19 21 23 26 28 29 34 36 38 40 44 46 49 52 54 56 58 61 62 64 67 68 70 73 74 > true count=4, estimated count=1952, Key=2566144
[13] - <7 25 36 40 56 58 60 62 64 > true count=1952, estimated count=1952, Key=799618
[14] - <5 7 9 29 34 42 48 52 60 66 > true count=1952, estimated count=1952, Key=642754
[15] - <7 9 29 34 42 48 56 60 66 > true count=1952, estimated count=1952, Key=679417
[16] - <2 29 40 44 46 48 52 60 66 > true count=491, estimated count=1953, Key=717113
[17] - <2 9 44 46 60 > true count=491, estimated count=1953, Key=315619
[18] - <3 9 25 29 34 36 48 58 60 66 > true count=1954, estimated count=1954, Key=642030
[19] - <5 25 40 46 52 58 60 62 66 > true count=1953, estimated count=1953, Key=806588
[20] - <5 7 27 52 58 60 62 > true count=802, estimated count=1953, Key=789057
[21] - <5 34 40 42 46 52 60 66 > true count=1953, estimated count=1953, Key=729461
[22] - <9 17 36 40 48 58 60 66 > true count=1952, estimated count=1953, Key=738248
[23] - <2 3 5 7 13 16 21 23 27 29 34 36 40 42 44 50 52 54 56 58 61 62 64 67 68 70 73 74 > true count=5, estimated count=1953, Key=2617875
[24] - <2 3 5 7 13 16 20 21 23 27 29 34 36 40 42 44 47 48 52 54 56 58 61 62 64 67 68 70 73 74 > true count=5, estimated count=1952, Key=2482318
[25] - <9 25 42 48 58 62 > true count=1952, estimated count=1952, Key=542430
[26] - <7 34 36 40 46 48 58 60 62 66 > true count=1952, estimated count=1952, Key=812417
[27] - <9 31 34 36 40 56 58 60 > true count=1952, estimated count=1952, Key=697474
[28] - <5 27 29 40 58 60 62 66 > true count=801, estimated count=1952, Key=778605
[29] - <7 31 34 36 40 48 58 60 62 66 > true count=1952, estimated count=1952, Key=783852
[30] - <5 9 34 36 40 44 58 60 62 > true count=1953, estimated count=1953, Key=676378
[31] - <7 25 27 29 40 56 60 > true count=810, estimated count=1952, Key=680418
[32] - <9 17 36 56 58 60 62 > true count=1954, estimated count=1954, Key=813564
[33] - <17 34 36 48 52 56 60 66 > true count=1953, estimated count=1953, Key=767333
[34] - <2 25 36 44 52 56 60 66 > true count=491, estimated count=1953, Key=754423
[35] - <3 29 34 40 48 56 58 60 64 66 > true count=1953, estimated count=1953, Key=842460
[36] - <7 25 46 56 58 60 66 > true count=1953, estimated count=1954, Key=847912
[37] - <3 9 25 29 36 48 58 60 62 66 > true count=1954, estimated count=1954, Key=735806
[38] - <9 36 40 56 58 60 62 74 > true count=1954, estimated count=1954, Key=828947
[39] - <5 25 34 36 42 52 56 58 60 66 > true count=1953, estimated count=1954, Key=790452
[40] - <7 27 29 34 36 40 58 60 62 > true count=811, estimated count=1953, Key=650775
[41] - <5 7 9 29 36 42 58 60 62 66 > true count=1953, estimated count=1953, Key=693564
[42] - <25 52 58 60 62 66 74 > true count=1954, estimated count=1954, Key=953269
[43] - <2 7 9 29 44 56 58 60 62 > true count=491, estimated count=1953, Key=684573
[44] - <5 9 29 34 42 48 56 58 60 66 > true count=1953, estimated count=1954, Key=757245
[45] - <3 9 29 40 56 58 60 64 66 > true count=1953, estimated count=1953, Key=783355
[46] - <7 25 27 29 34 52 60 > true count=811, estimated count=1953, Key=649600
[47] - <5 9 34 36 44 52 58 60 62 > true count=1954, estimated count=1954, Key=716022
[48] - <2 4 5 7 9 13 16 17 21 23 29 33 34 36 38 40 42 44 50 52 54 56 58 61 62 64 67 68 70 73 74 > true count=4, estimated count=1952, Key=2434890
[49] - <2 5 7 13 16 20 21 23 26 27 29 34 36 39 40 42 44 48 52 54 56 58 61 62 64 67 68 73 74 > true count=3, estimated count=1952, Key=2490045
[50] - <29 42 46 48 56 > true count=1952, estimated count=1952, Key=329145
[51] - <5 7 29 34 40 60 66 74 > true count=1952, estimated count=1952, Key=723917
[52] - <5 7 17 29 40 56 60 66 > true count=1952, estimated count=1952, Key=658346
[53] - <17 25 34 36 40 52 60 > true count=1952, estimated count=1952, Key=688658
[54] - <7 9 29 36 40 60 74 > true count=1952, estimated count=1952, Key=764293
[55] - <5 29 34 36 60 66 74 > true count=1952, estimated count=1952, Key=857842
[56] - <5 36 40 58 60 62 66 74 > true count=1953, estimated count=1953, Key=863273
[57] - <7 25 34 36 40 52 58 60 62 64 > true count=1952, estimated count=1953, Key=792436
[58] - <5 7 34 36 40 48 56 60 64 66 > true count=1952, estimated count=1952, Key=762974
[59] - <5 25 29 40 46 56 60 > true count=1953, estimated count=1953, Key=721291
[60] - <5 7 38 40 56 58 60 > true count=1952, estimated count=1953, Key=757158
[61] - <40 48 54 60 66 > true count=1102, estimated count=1953, Key=393676
[62] - <7 34 36 46 48 52 58 60 62 66 > true count=1953, estimated count=1953, Key=844197
[63] - <9 25 31 40 58 60 > true count=1952, estimated count=1952, Key=505805
[64] - <25 29 36 40 44 48 56 58 60 66 > true count=1953, estimated count=1954, Key=794264
[65] - <5 7 34 36 44 56 58 60 66 > true count=1953, estimated count=1954, Key=731440
[66] - <5 25 29 36 40 46 58 60 62 > true count=1953, estimated count=1957, Key=686147
[67] - <3 5 7 29 46 58 60 66 > true count=1954, estimated count=1954, Key=668616
[68] - <7 36 40 54 58 60 62 > true count=1103, estimated count=1954, Key=824885
[69] - <2 3 5 7 9 13 21 23 27 29 34 36 40 44 48 52 54 56 58 61 62 64 67 68 70 73 74 > true count=5, estimated count=1957, Key=2324714
[70] - <25 34 46 52 56 58 60 66 > true count=1953, estimated count=1954, Key=805761
[71] - <7 17 36 40 48 52 56 58 60 66 > true count=1954, estimated count=1955, Key=813002
[72] - <2 29 44 46 56 58 60 > true count=492, estimated count=1955, Key=788521
[73] - <5 27 29 40 56 60 > true count=802, estimated count=1954, Key=498939
[74] - <2 4 5 7 9 11 13 16 17 19 21 23 26 27 29 33 34 36 38 40 42 44 46 49 52 54 56 58 61 62 64 67 68 70 73 74 > true count=2, estimated count=1954, Key=2860142
[75] - <5 7 29 31 40 48 52 56 58 60 > true count=1954, estimated count=1958, Key=718520
[76] - <2 3 5 7 9 13 17 21 23 25 27 29 34 36 40 44 52 54 56 58 61 62 64 67 68 70 73 74 > true count=6, estimated count=1958, Key=2486854
[77] - <36 54 58 60 62 74 > true count=812, estimated count=1954, Key=655868
[78] - <5 27 29 34 58 60 62 > true count=804, estimated count=1955, Key=766581
[79] - <2 36 40 44 46 58 60 62 66 > true count=495, estimated count=1960, Key=792122
[80] - <5 7 9 29 40 52 58 60 62 64 66 > true count=1953, estimated count=1954, Key=869450
[81] - <3 7 9 29 34 36 48 56 58 60 62 66 > true count=1954, estimated count=1954, Key=917802
[82] - <5 25 40 58 60 74 > true count=1955, estimated count=1956, Key=608368
[83] - <3 29 46 48 58 60 62 66 > true count=1954, estimated count=1954, Key=816534
[84] - <5 7 29 36 46 56 58 60 66 > true count=1953, estimated count=1954, Key=730793
[85] - <9 25 29 36 42 48 58 60 66 > true count=1953, estimated count=1954, Key=700999
[86] - <27 29 36 48 56 58 60 62 66 > true count=802, estimated count=1953, Key=818864
[87] - <5 7 17 40 56 58 60 62 > true count=1953, estimated count=1953, Key=731411
[88] - <5 17 56 58 60 62 66 > true count=1954, estimated count=1954, Key=872470
[89] - <5 25 34 40 42 48 52 58 60 62 66 > true count=1954, estimated count=1954, Key=893038
[90] - <9 40 46 52 56 58 60 62 66 > true count=1954, estimated count=1954, Key=845125
[91] - <2 3 7 29 40 44 56 58 60 > true count=491, estimated count=1953, Key=616021
[92] - <2 36 44 54 58 60 62 > true count=491, estimated count=1953, Key=829796
[93] - <27 29 34 40 56 58 60 66 > true count=801, estimated count=1953, Key=764364
[94] - <3 9 29 36 42 56 58 60 66 > true count=1954, estimated count=1954, Key=720889
[95] - <2 5 9 44 52 56 58 60 > true count=491, estimated count=1954, Key=701452
[96] - <5 31 42 56 58 60 66 > true count=1953, estimated count=1953, Key=846276
[97] - <25 31 36 40 48 52 56 58 > true count=1952, estimated count=1952, Key=706744
[98] - <2 7 21 27 31 36 44 48 52 58 > true count=161, estimated count=1952, Key=591884
[99] - <3 9 29 40 42 48 56 58 > true count=1952, estimated count=1952, Key=655267
[100] - <5 48 52 60 66 74 > true count=1952, estimated count=1952, Key=656177
[101] - <27 29 34 36 56 58 60 62 > true count=810, estimated count=1952, Key=756388
[102] - <5 7 34 36 46 48 52 60 66 > true count=1952, estimated count=1952, Key=681764
[103] - <5 7 29 34 36 44 56 60 66 > true count=1952, estimated count=1952, Key=647503
[104] - <2 9 44 56 58 60 66 > true count=490, estimated count=1953, Key=836697
[105] - <5 17 34 40 48 60 66 > true count=1953, estimated count=1953, Key=769408
[106] - <5 36 56 60 66 74 > true count=1952, estimated count=1952, Key=654529
[107] - <9 34 40 44 48 52 60 66 > true count=1952, estimated count=1952, Key=738949
[108] - <7 36 40 42 48 52 56 58 60 62 64 66 > true count=1952, estimated count=1953, Key=1136367
[109] - <5 25 40 46 48 52 60 66 > true count=1952, estimated count=1952, Key=738008
[110] - <5 9 25 40 42 52 58 60 66 > true count=1953, estimated count=1954, Key=709623
[111] - <5 34 46 48 56 60 66 > true count=1952, estimated count=1952, Key=831391
[112] - <5 9 34 40 44 52 58 60 62 66 > true count=1953, estimated count=1953, Key=805108
[113] - <5 9 40 52 56 58 60 74 > true count=1952, estimated count=1953, Key=784700
[114] - <2 3 5 7 11 13 17 19 21 23 27 29 34 36 40 43 44 46 52 54 56 58 61 62 64 67 68 73 74 > true count=10, estimated count=1953, Key=2368789
[115] - <5 36 52 54 58 60 > true count=863, estimated count=1955, Key=565529
[116] - <9 34 40 48 56 60 64 66 > true count=1952, estimated count=1952, Key=815245
[117] - <7 9 27 29 40 56 58 60 > true count=811, estimated count=1954, Key=662884
[118] - <2 3 5 7 9 11 13 16 21 23 27 29 34 36 38 40 44 52 54 56 58 61 62 64 67 68 70 73 74 > true count=5, estimated count=1953, Key=2389157
[119] - <5 25 36 46 48 52 60 66 > true count=1953, estimated count=1953, Key=733092
[120] - <29 31 34 48 56 58 60 62 66 > true count=1954, estimated count=1956, Key=817502
[121] - <5 7 9 29 40 46 52 60 > true count=1953, estimated count=1953, Key=577330
[122] - <29 34 42 46 58 60 62 66 > true count=1953, estimated count=1957, Key=810393
[123] - <9 54 58 60 62 > true count=1102, estimated count=1953, Key=390847
[124] - <2 36 44 52 58 60 62 74 > true count=491, estimated count=1953, Key=825884
[125] - <17 34 36 48 52 58 60 62 66 > true count=1954, estimated count=1954, Key=810593
[126] - <9 27 29 34 36 52 60 > true count=811, estimated count=1953, Key=668617
[127] - <7 25 27 29 40 48 52 60 66 > true count=801, estimated count=1952, Key=652564
[128] - <2 4 5 7 9 11 13 16 17 19 21 23 26 27 29 34 36 38 40 42 44 46 49 52 54 56 58 61 62 64 67 68 70 73 74 > true count=3, estimated count=1955, Key=2951237
[129] - <17 36 48 56 58 60 62 66 > true count=1955, estimated count=1955, Key=838779
[130] - <7 25 29 34 40 46 58 60 66 > true count=1953, estimated count=1954, Key=684351
[131] - <2 5 7 9 13 16 17 21 23 26 29 31 34 36 38 40 44 50 52 54 56 58 61 62 64 67 68 70 73 74 > true count=5, estimated count=1957, Key=2440378
[132] - <2 29 34 40 44 46 58 60 > true count=495, estimated count=1958, Key=679531
[133] - <2 4 5 7 9 13 16 17 21 23 26 29 34 36 38 40 42 44 50 52 54 56 58 61 62 64 67 68 70 73 74 > true count=6, estimated count=1958, Key=2417915
[134] - <3 5 29 36 40 52 56 58 60 64 66 > true count=1954, estimated count=1955, Key=896947
[135] - <5 9 29 36 42 48 52 56 58 62 > true count=1958, estimated count=1962, Key=737535
[136] - <7 29 31 36 48 56 58 60 62 66 > true count=1953, estimated count=1955, Key=829711
[137] - <7 36 52 54 58 60 62 > true count=1108, estimated count=1959, Key=839633
[138] - <2 5 7 11 13 16 21 23 27 29 34 36 40 42 44 50 52 54 56 58 61 62 64 67 68 73 74 > true count=8, estimated count=1960, Key=2314073
[139] - <2 5 7 9 13 16 17 21 23 27 29 34 36 38 40 42 44 50 52 54 56 58 61 62 64 67 68 70 73 74 > true count=7, estimated count=1958, Key=2466954
[140] - <2 25 44 48 56 58 60 66 > true count=492, estimated count=1955, Key=790385
[141] - <2 25 36 44 56 58 60 66 > true count=492, estimated count=1954, Key=772581
[142] - <17 25 29 34 36 40 58 60 > true count=1955, estimated count=1956, Key=615777
