time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
10,43,190,199811,0.808000,1,10
20,43,588,199413,4.411000,2,35
30,43,938,199063,1.617000,3,78
40,43,1450,198551,5.883000,4,118
50,43,2000,198001,1.337000,5,149
60,43,3433,196568,2.216000,6,179
70,43,4539,195462,10.472000,7,216
80,43,6220,193781,3.088000,8,213
90,43,7666,192335,33.207000,9,248
100,43,8421,191580,5.531000,10,313
110,43,11284,188717,5.517000,11,375
120,43,16880,183121,28.001000,12,537
130,43,18281,181720,8.514000,13,623
140,43,22068,177933,39.944000,14,759
150,43,21927,178074,10.271000,15,907
160,43,24005,175996,13.549000,16,953
170,43,24294,175707,20.364000,17,1079
180,43,24773,175228,21.116000,18,1018
190,43,27490,172511,65.234000,19,1078
200,43,28374,171627,39.309000,20,1099
210,43,33570,166431,26.877000,21,1108
220,43,39079,160922,41.965000,22,1137
230,43,47856,152145,342.143000,23,1140
240,43,49524,150477,57.601000,24,1461
250,43,49327,150674,53.396000,25,1668
260,43,53255,146746,76.034000,26,1707
270,43,54195,145806,75.104000,27,1710
280,43,54028,145973,82.514000,28,1842
290,43,57651,142350,97.167000,29,1830
300,43,57890,142111,90.720000,30,1939
310,43,66248,133753,112.427000,31,1894
320,43,66609,133392,92.215000,32,1881
330,43,68823,131178,100.052000,33,1801
340,43,70474,129527,86.665000,34,1690
350,43,73153,126848,93.360000,35,1681
360,43,77627,122374,92.825000,36,1746
370,43,77834,122167,93.503000,37,1843
380,43,77940,122061,109.442000,38,1833
390,43,77716,122285,107.998000,39,1969
400,43,78953,121048,129.447000,40,2160
410,43,81302,118699,132.807000,41,2190
420,43,83230,116771,204.559000,42,2155
430,43,87342,112659,138.961000,43,2256
440,43,97665,102336,182.752000,44,2411
450,43,100000,100001,351.655000,46,3471
451,43,100000,100001,581.822000,48,6493
452,43,100000,100001,521.380000,51,6667
454,43,100000,100001,119.390000,52,852
458,43,100000,100001,490.421000,54,6069
459,43,100000,100001,248.122000,55,2674
460,43,100000,100001,111.434000,56,829
466,43,100000,100001,138.768000,57,1354
471,43,100000,100001,294.293000,59,3371
472,43,100000,100001,167.491000,60,1946
473,43,100000,100001,125.683000,61,1163
484,43,100000,100001,253.700000,63,2744
486,43,100000,100001,105.042000,64,750
496,43,100000,100001,85.213000,65,546
498,43,100000,100001,87.102000,66,558
499,43,100000,100001,285.229000,68,3616
500,43,100000,100001,186.559000,69,2101
506,43,100000,100001,129.684000,70,1087
510,43,100000,100001,106.892000,71,923
520,43,100000,100001,95.007000,72,765
537,43,100000,100001,166.082000,73,1429
538,43,100000,100001,61.078000,74,180
557,43,100000,100001,46.060000,75,88
559,43,100000,100001,231.824000,76,1807
572,43,100000,100001,35.333000,77,13
588,43,100000,100001,57.364000,78,184
591,43,100000,100001,393.449000,80,3091
599,43,100000,100001,131.231000,81,809
617,43,100000,100001,37.047000,82,21
618,43,100000,100001,413.234000,84,3063
633,43,100000,100001,79.369000,85,303
638,43,100000,100001,683.023000,89,6027
639,43,100000,100001,328.815000,91,3197
641,43,100000,100001,118.856000,92,829
644,43,100000,100001,74.585000,93,369
646,43,100000,100001,130.590000,94,1355
648,43,100000,100001,1090.017000,101,12137
651,43,100000,100001,84.055000,102,397
660,43,100000,100001,148.506000,103,1172
672,43,100000,100001,111.070000,104,946
676,43,100000,100001,62.944000,105,171
688,43,100000,100001,36.663000,106,32
690,43,100000,100001,126.262000,107,986
703,43,100000,100001,35.981000,108,21
719,43,100000,100001,45.653000,109,126
725,43,100000,100001,66.054000,110,336
727,43,100000,100001,144.203000,111,948
737,43,100000,100001,90.944000,112,400
747,43,100000,100001,41.178000,113,66
759,43,100000,100001,166.976000,115,1181
767,43,100000,100001,91.602000,116,383
785,43,100000,100001,220.699000,118,1679
788,43,100000,100001,91.786000,119,391
799,43,100000,100001,71.499000,120,310
805,43,100000,100001,315.452000,122,2424
807,43,100000,100001,127.793000,123,990
809,43,100000,100001,162.808000,124,1090
810,43,100000,100001,98.359000,125,407
813,43,100000,100001,400.219000,128,3514
818,43,100000,100001,95.014000,129,489
821,43,100000,100001,74.464000,130,308
828,43,100000,100001,707.969000,135,6436
829,43,100000,100001,376.418000,138,2965
831,43,100000,100001,1990.996000,154,16799
847,43,100000,100001,40.173000,155,28
862,43,100000,100001,37.856000,156,31
875,43,100000,100001,62.460000,157,257
883,43,100000,100001,98.401000,158,585
889,43,100000,100001,40.313000,159,8
895,43,100000,100001,107.822000,160,523
905,43,100000,100001,53.347000,161,121
910,43,100000,100001,148.880000,163,896
914,43,100000,100001,47.061000,164,102
917,43,100000,100001,73.958000,165,304
920,43,100000,100001,51.792000,166,114
929,43,100000,100001,50.473000,167,127
936,43,100000,100001,109.139000,168,650
939,43,100000,100001,44.386000,169,50
946,43,100000,100001,67.746000,170,276
953,43,100000,100001,104.349000,171,632
958,43,100000,100001,596.375000,177,5115
963,43,100000,100001,45.073000,178,99
980,43,100000,100001,153.242000,180,822
995,43,100000,100001,61.429000,181,121
999,43,100000,100001,208.824000,183,1275
1014,43,100000,100001,270.828000,186,1860
1015,43,100000,100001,47.931000,187,135
