time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
10,3,5,199996,0.045000,1,9
20,4,10,199991,0.100000,2,9
30,2,11,199990,0.063000,3,11
40,13,10,199991,0.050000,4,11
50,28,16,199985,0.137000,5,7
60,4,20,199981,0.101000,6,14
70,25,16,199985,0.032000,7,14
80,182,17,199984,0.076000,8,9
90,1,16,199985,0.028000,9,14
100,2,16,199985,0.027000,10,9
110,3,16,199985,0.027000,11,9
120,22,16,199985,0.030000,12,9
130,6,14,199987,0.028000,13,11
140,2,17,199984,0.027000,14,10
150,3,13,199988,0.028000,15,14
160,7,12,199989,0.050000,16,11
170,10,12,199989,0.027000,17,9
180,5,15,199986,0.081000,18,9
190,3,13,199988,0.027000,19,11
200,5,18,199983,0.028000,20,9
210,5,17,199984,0.028000,21,13
220,1,13,199988,0.003000,22,10
230,16,17,199984,0.073000,23,9
240,3,12,199989,0.027000,24,17
250,2,12,199989,0.027000,25,11
260,16,15,199986,0.068000,26,9
270,1,12,199989,0.004000,27,11
280,4,12,199989,0.060000,28,9
290,3,12,199989,0.027000,29,10
300,3,14,199987,0.071000,30,10
310,13,17,199984,0.049000,31,8
320,3,16,199985,0.048000,32,11
330,2,12,199989,0.027000,33,14
340,4,13,199988,0.027000,34,10
350,2,12,199989,0.026000,35,9
360,23,14,199987,0.048000,36,9
370,2,15,199986,0.026000,37,11
380,4,21,199980,0.042000,38,8
390,3,18,199983,0.029000,39,14
400,3,15,199986,0.028000,40,10
410,3,17,199984,0.030000,41,9
420,22,21,199980,0.051000,42,10
430,2,20,199981,0.029000,43,12
440,4,17,199984,0.050000,44,12
450,8,16,199985,0.048000,45,13
460,4,20,199981,0.046000,46,10
470,2,21,199980,0.049000,47,12
480,2,17,199984,0.026000,48,15
490,132,19,199982,0.086000,49,11
500,3,22,199979,0.029000,50,11
510,26,20,199981,0.072000,51,14
520,1,18,199983,0.005000,52,10
530,2,15,199986,0.026000,53,10
540,74,16,199985,0.029000,54,11
550,15,18,199983,0.046000,55,8
560,4,15,199986,0.028000,56,11
570,14,14,199987,0.026000,57,10
580,3,16,199985,0.040000,58,9
590,4,15,199986,0.027000,59,6
600,4,16,199985,0.028000,60,7
610,4,19,199982,0.030000,61,11
620,2,18,199983,0.006000,62,9
630,10,15,199986,0.030000,63,11
640,3,15,199986,0.047000,64,9
650,2,17,199984,0.039000,65,8
660,18,16,199985,0.031000,66,12
670,1,15,199986,0.025000,67,10
680,2,13,199988,0.045000,68,12
690,5,18,199983,0.052000,69,9
700,1,17,199984,0.024000,70,13
710,8,19,199982,0.027000,71,9
720,34,21,199980,0.079000,72,11
730,2,15,199986,0.028000,73,11
740,2,13,199988,0.027000,74,11
750,1,12,199989,0.005000,75,8
760,5,14,199987,0.028000,76,9
770,1,14,199987,0.025000,77,8
780,1,13,199988,0.004000,78,10
790,2,15,199986,0.006000,79,11
800,4,16,199985,0.027000,80,9
810,4,19,199982,0.033000,81,11
820,4,22,199979,0.056000,82,13
830,1,18,199983,0.006000,83,13
840,4,18,199983,0.031000,84,12
850,5,18,199983,0.029000,85,11
860,2,19,199982,0.027000,86,12
870,3,17,199984,0.029000,87,13
880,5,19,199982,0.029000,88,12
890,24,16,199985,0.031000,89,10
900,3,16,199985,0.049000,90,9
910,5,16,199985,0.029000,91,11
920,12,15,199986,0.052000,92,12
930,46,18,199983,0.076000,93,10
940,30,23,199978,0.058000,94,14
950,6,20,199981,0.031000,95,14
960,3,24,199977,0.043000,96,12
970,1,25,199976,0.005000,97,10
980,4,22,199979,0.031000,98,15
990,3,25,199976,0.030000,99,9
1000,1,19,199982,0.005000,100,13
1010,3,22,199979,0.029000,101,11
1020,2,22,199979,0.027000,102,12
1030,5,19,199982,0.049000,103,14
1040,7,18,199983,0.048000,104,9
1050,4,18,199983,0.049000,105,11
1060,3,18,199983,0.028000,106,9
1070,3,26,199975,0.031000,107,9
1080,9,28,199973,0.208000,108,15
1090,1,21,199980,0.006000,109,16
