time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
10,73,230,199771,2.477000,1,10
20,73,1584,198417,7.645000,2,36
30,74,8457,191544,28.842000,3,122
40,74,21049,178952,34.934000,4,390
50,73,83120,116881,948.117000,5,779
53,74,100000,100001,885.802000,8,4451
57,74,100000,100001,1202.106000,11,17267
58,73,100000,100001,1452.071000,15,22018
59,73,100000,100001,2402.757000,20,34643
60,74,100000,100001,688.256000,21,11090
61,73,100000,100001,1028.895000,24,15846
65,73,100000,100001,183.761000,27,4055
67,74,100000,100001,128.710000,28,1552
70,74,100000,100001,29.085000,29,12
73,73,100000,100001,1476.055000,34,20656
78,73,100000,100001,10089.797000,43,92639
81,73,100000,100001,538.206000,45,4697
84,74,100000,100001,300.093000,46,2611
86,73,100000,100001,33.627000,47,10
88,74,100000,100001,111.325000,48,789
91,74,100000,100001,231.824000,50,1810
94,74,100000,100001,228.216000,52,2250
96,73,100000,100001,3120.294000,55,24417
100,73,100000,100001,33.564000,56,10
103,74,100000,100001,31.385000,57,20
104,73,100000,100001,29.804000,58,19
105,74,100000,100001,30.431000,59,43
106,73,100000,100001,1615.449000,62,11027
110,73,100000,100001,30.749000,63,8
111,74,100000,100001,1481.547000,67,11039
113,74,100000,100001,32.655000,68,2
115,73,100000,100001,30.979000,69,8
119,74,100000,100001,13486.395000,77,99960
120,73,100000,100001,32.659000,78,1
122,74,100000,100001,32.060000,79,3
125,73,100000,100001,47.667000,80,361
129,73,100000,100001,410.630000,82,4157
132,74,100000,100001,28.008000,83,21
138,73,100000,100001,36.675000,84,98
139,74,100000,100001,31.823000,85,60
141,73,100000,100001,33.084000,86,48
144,74,100000,100001,32.332000,87,47
146,73,100000,100001,33.055000,89,211
147,74,100000,100001,31.143000,91,205
149,74,100000,100001,2967.421000,99,28408
150,74,100000,100001,4459.940000,104,45087
153,74,100000,100001,23.975000,105,41
155,73,100000,100001,28.640000,106,6
156,74,100000,100001,29.892000,107,6
157,74,100000,100001,30.948000,108,6
160,73,100000,100001,28.742000,109,19
161,74,100000,100001,30.375000,110,14
163,74,100000,100001,52.812000,112,372
166,74,100000,100001,28.418000,113,4
167,73,100000,100001,31.103000,114,70
168,73,100000,100001,27.704000,115,40
169,73,100000,100001,28.439000,116,1
170,74,100000,100001,26.645000,117,3
172,74,100000,100001,25.443000,118,7
174,73,100000,100001,25.981000,119,153
175,74,100000,100001,37.984000,120,187
178,73,100000,100001,41.714000,121,297
179,74,100000,100001,58.466000,122,431
180,73,100000,100001,62.276000,123,633
181,74,100000,100001,50.324000,124,406
182,73,100000,100001,35.612000,125,101
186,74,100000,100001,46.865000,128,694
189,73,100000,100001,42.106000,129,459
193,74,100000,100001,28.581000,130,23
194,73,100000,100001,28.192000,131,21
196,74,100000,100001,27.863000,132,24
197,74,100000,100001,30.932000,133,80
198,73,100000,100001,28.087000,134,306
201,74,100000,100001,90.073000,138,1019
206,74,100000,100001,25.726000,139,14
207,73,100000,100001,52.883000,143,647
210,74,100000,100001,42.026000,145,316
213,73,100000,100001,21.336000,146,12
217,73,100000,100001,29.316000,148,34
219,73,100000,100001,27.769000,149,197
220,74,100000,100001,24.730000,150,70
222,73,100000,100001,65.288000,152,1172
224,74,100000,100001,32.320000,154,93
227,73,100000,100001,32.641000,155,273
228,74,100000,100001,31.113000,156,6
232,73,100000,100001,40.294000,157,463
233,74,100000,100001,31.802000,158,12
234,73,100000,100001,76.167000,160,1031
235,74,100000,100001,37.578000,161,281
238,73,100000,100001,27.291000,162,44
239,74,100000,100001,28.368000,163,35
240,73,100000,100001,28.234000,164,54
242,74,100000,100001,28.325000,165,3
245,73,100000,100001,28.869000,166,11
246,74,100000,100001,30.899000,167,10
248,73,100000,100001,30.533000,168,177
250,74,100000,100001,30.744000,170,113
251,73,100000,100001,31.704000,171,61
252,73,100000,100001,40.624000,172,571
254,74,100000,100001,4049.580000,191,55605
257,74,100000,100001,2911.609000,197,28433
258,73,100000,100001,34.938000,198,1
259,74,100000,100001,31.229000,199,2
260,74,100000,100001,33.521000,200,3
263,74,100000,100001,30.309000,201,5
264,73,100000,100001,29.252000,202,5
265,74,100000,100001,27.325000,203,12
266,74,100000,100001,32.155000,204,13
267,74,100000,100001,21.832000,205,18
269,74,100000,100001,28.405000,206,4
270,74,100000,100001,29.604000,207,5
271,73,100000,100001,37.211000,208,19
272,74,100000,100001,30.511000,209,3
275,73,100000,100001,27.094000,211,12
277,74,100000,100001,29.915000,213,22
280,74,100000,100001,30.241000,214,15
281,74,100000,100001,29.050000,215,6
283,74,100000,100001,29.416000,216,4
284,73,100000,100001,31.637000,218,38
285,73,100000,100001,30.927000,219,24
287,74,100000,100001,28.955000,220,3
288,74,100000,100001,28.302000,221,12
291,73,100000,100001,33.777000,222,17
293,73,100000,100001,39.210000,224,39
295,74,100000,100001,29.933000,225,19
296,74,100000,100001,2977.857000,234,24670
301,74,100000,100001,31.018000,235,16
302,74,100000,100001,30.557000,236,27
303,73,100000,100001,30.213000,237,49
305,74,100000,100001,30.809000,238,36
306,74,100000,100001,31.069000,239,21
307,73,100000,100001,30.586000,240,56
