---OutputTable---
time=49045
table_size=7437
[1] - <188 3404 4404 4428 7102 7112 > true count=774, estimated count=38190, Key=1091166
[2] - <170 180 184 260 265 4426 4438 7062 7102 7112 > true count=287, estimated count=38191, Key=4673839
[3] - <17 180 184 4428 4434 4436 7102 7112 > true count=287, estimated count=38190, Key=1129053
[4] - <180 184 188 4428 4430 4436 7062 7082 7102 > true count=171, estimated count=38192, Key=4833248
[5] - <170 180 184 188 4426 4438 7082 7102 7112 > true count=287, estimated count=38191, Key=3965890
[6] - <180 184 188 260 265 4426 4434 7102 7112 > true count=287, estimated count=38190, Key=3428131
[7] - <180 184 188 4426 4428 4432 4436 4940 7062 7102 7112 > true count=156, estimated count=38190, Key=1078446
[8] - <188 3404 4404 4428 4434 4436 7092 7102 > true count=719, estimated count=38193, Key=534912
[9] - <170 180 184 4426 4430 4436 7062 7082 7102 > true count=171, estimated count=38192, Key=4822148
[10] - <180 184 3404 4404 4428 4432 4434 4436 7062 7102 > true count=171, estimated count=38192, Key=5803502
[11] - <17 170 4426 4940 7092 7102 > true count=2830, estimated count=38192, Key=306151
[12] - <170 180 184 188 4426 4430 4434 7102 7112 > true count=287, estimated count=38190, Key=7230434
[13] - <180 184 3404 4404 4426 7062 7102 7112 > true count=287, estimated count=38190, Key=6922666
[14] - <170 180 184 188 4426 4432 4436 4940 7062 7102 7112 > true count=156, estimated count=38190, Key=119500
[15] - <180 184 188 260 265 4428 4438 7102 7112 > true count=287, estimated count=38191, Key=3452977
[16] - <170 180 184 4428 4434 4436 4438 4940 7062 7082 7092 7102 > true count=112, estimated count=38193, Key=5573936
[17] - <180 184 4426 4434 4436 4438 4940 7062 7082 7092 7102 > true count=112, estimated count=38193, Key=1055396
[18] - <260 265 3404 4404 4428 4434 7092 7102 > true count=750, estimated count=38192, Key=5017463
[19] - <180 184 4426 4428 4430 4436 7062 7082 7102 > true count=171, estimated count=38192, Key=2541750
[20] - <17 170 260 265 3404 4404 4428 7062 7102 > true count=751, estimated count=38193, Key=4537056
[21] - <188 260 265 3404 4404 4426 7092 7102 > true count=718, estimated count=38192, Key=6569201
[22] - <17 180 184 260 265 4434 4436 7062 7082 7092 7102 > true count=112, estimated count=38193, Key=3812258
[23] - <170 188 3404 4404 4428 4434 4940 7102 > true count=718, estimated count=38192, Key=2961262
[24] - <15 17 61 68 74 84 124 158 161 167 168 170 180 184 188 197 210 260 265 277 295 348 1320 2299 2301 2401 3403 3404 4404 4413 4414 4426 4428 4430 4432 4434 4436 4438 4440 4493 4496 4499 4502 4505 4518 4525 4567 4680 4780 4786 4799 4815 4853 4933 4937 4940 4946 5784 6113 6857 6867 6917 6962 7026 7036 7046 7056 7062 7072 7082 7092 7102 7114 > true count=2, estimated count=38191, Key=6893904
[25] - <180 184 260 265 4426 4432 7062 7102 7112 > true count=287, estimated count=38190, Key=4105047
[26] - <17 180 184 4428 4432 4434 7102 7112 > true count=287, estimated count=38190, Key=1116393
[27] - <170 180 184 260 265 4426 4434 7102 7112 > true count=287, estimated count=38190, Key=3421017
[28] - <180 184 4426 4428 4430 4432 4436 4940 7062 7092 7102 > true count=67, estimated count=38192, Key=6264212
[29] - <180 184 188 4426 4428 4430 4434 4436 4940 7062 7102 > true count=156, estimated count=38192, Key=7332114
[30] - <188 3404 4404 4426 4428 4436 7092 7102 > true count=718, estimated count=38192, Key=514432
[31] - <17 170 188 4426 4428 4940 7102 > true count=925, estimated count=38192, Key=2905731
[32] - <170 260 265 4428 4432 4434 4438 7092 7102 > true count=751, estimated count=38195, Key=867085
[33] - <170 180 184 260 265 4428 4432 4436 7062 7082 7102 > true count=136, estimated count=38192, Key=3747385
[34] - <170 260 265 3404 4404 4426 4438 7092 7102 > true count=750, estimated count=38194, Key=6220633
[35] - <180 184 4426 4432 4436 4438 4940 7062 7082 7092 7102 > true count=67, estimated count=38193, Key=1051410
[36] - <180 184 188 3404 4404 4426 4436 7092 7102 > true count=719, estimated count=38193, Key=6075596
[37] - <180 184 260 265 4428 4434 4436 4438 7062 7082 7102 > true count=136, estimated count=38193, Key=336211
[38] - <3404 4404 4428 4434 4940 7092 7102 > true count=8732, estimated count=38195, Key=4565820
[39] - <17 188 260 265 3404 4404 4428 7062 7102 > true count=590, estimated count=38192, Key=4546902
[40] - <170 180 184 260 265 4426 4428 4432 4940 7062 7102 > true count=148, estimated count=38192, Key=2537221
[41] - <188 260 265 3404 4404 4426 4432 4438 7102 > true count=779, estimated count=38195, Key=6191471
[42] - <180 184 260 265 4426 4434 4436 4438 7062 7092 7102 > true count=112, estimated count=38193, Key=343003
[43] - <170 188 260 265 3404 4404 4426 4436 7102 > true count=719, estimated count=38193, Key=4535587
[44] - <17 170 180 184 4426 4428 4432 4438 7062 7092 7102 > true count=290, estimated count=38198, Key=36259
[45] - <170 180 184 188 4426 4428 4432 4434 4436 4940 7062 7092 7102 > true count=158, estimated count=38192, Key=3321986
[46] - <260 265 3404 4404 4426 4428 4432 7062 7102 > true count=777, estimated count=38193, Key=4615373
[47] - <180 184 188 260 265 4426 4432 4434 7092 7102 > true count=289, estimated count=38192, Key=4634039
[48] - <180 184 4438 7062 7072 > true count=170, estimated count=38192, Key=1570624
[49] - <180 184 188 4426 4436 4438 7082 7102 7112 > true count=287, estimated count=38191, Key=4946828
[50] - <180 184 188 260 265 4426 4432 7102 7112 > true count=287, estimated count=38190, Key=3419289
[51] - <17 180 184 188 4428 4434 7062 7102 7112 > true count=287, estimated count=38190, Key=3868491
[52] - <180 184 188 4428 4430 4432 4436 4940 7062 7092 7102 > true count=102, estimated count=38192, Key=1055710
[53] - <180 184 188 4426 4428 4430 4432 4436 7062 7092 7102 > true count=90, estimated count=38192, Key=1020876
[54] - <170 180 184 260 265 4428 4438 7102 7112 > true count=287, estimated count=38191, Key=3445863
[55] - <180 184 188 3404 4404 4428 4434 4436 4438 7062 7102 > true count=421, estimated count=38195, Key=4947536
[56] - <180 184 260 265 3404 4404 4426 4436 4438 7102 > true count=720, estimated count=38194, Key=4304559
[57] - <170 260 265 3404 4404 4426 4428 4436 7102 > true count=750, estimated count=38192, Key=6173767
[58] - <17 260 265 3404 4404 4428 4434 7062 7102 > true count=776, estimated count=38192, Key=6209928
[59] - <170 180 184 3404 4404 4428 4432 4436 7062 7102 > true count=5708, estimated count=38192, Key=7261782
[60] - <180 184 260 265 4426 4432 4434 4940 7062 7102 > true count=148, estimated count=38192, Key=1185505
[61] - <260 265 3404 4404 4426 4432 4436 7102 > true count=750, estimated count=38192, Key=762627
[62] - <17 170 180 184 188 3404 4404 4426 4432 4438 7102 > true count=341, estimated count=38196, Key=2394877
[63] - <180 184 188 4426 4428 4430 4432 4434 4940 7062 7102 > true count=171, estimated count=38192, Key=7323270
[64] - <17 188 260 265 4428 4430 4434 4940 7062 > true count=1095, estimated count=38198, Key=7457508
[65] - <170 180 184 4428 4430 4432 4940 7102 7112 > true count=12554, estimated count=38195, Key=2935938
[66] - <17 170 260 265 3404 4404 4426 7062 7102 > true count=750, estimated count=38196, Key=4528214
[67] - <170 180 184 188 260 265 4428 4436 4438 4940 7062 7102 > true count=112, estimated count=38193, Key=4040589
[68] - <17 188 4426 4428 4430 4432 4436 7062 > true count=1097, estimated count=38198, Key=2035091
[69] - <180 184 188 4428 4432 4434 4436 4940 7062 7082 7092 7102 > true count=112, estimated count=38196, Key=5559548
[70] - <170 180 184 3404 4404 4428 4436 4940 7102 > true count=8731, estimated count=38194, Key=6073492
[71] - <188 260 265 3404 4404 4428 7092 7102 > true count=719, estimated count=38193, Key=6576363
[72] - <170 180 184 260 265 3404 4404 4426 4436 7102 > true count=718, estimated count=38196, Key=6890515
[73] - <17 180 184 188 3404 4404 4428 4436 4438 7102 > true count=343, estimated count=38194, Key=4064185
[74] - <170 3404 4404 4426 4432 4434 4436 7062 7102 > true count=777, estimated count=38198, Key=160826
[75] - <170 180 184 188 260 265 4428 4432 4434 4438 7062 7102 > true count=291, estimated count=38195, Key=3421439
[76] - <180 184 4428 4430 4432 4436 7062 7082 7102 > true count=102, estimated count=38192, Key=2553692
[77] - <170 3404 4404 4426 4434 4436 4438 7092 7102 > true count=776, estimated count=38196, Key=182358
[78] - <188 3404 4404 4428 4432 4940 7102 > true count=776, estimated count=38192, Key=2371346
[79] - <260 265 3404 4404 4426 4432 4434 4438 7102 > true count=779, estimated count=38195, Key=4635915
[80] - <170 260 265 4426 4428 4434 4438 7062 7092 7102 > true count=751, estimated count=38195, Key=2074961
[81] - <170 180 184 260 265 4434 4436 7062 7082 7092 7102 > true count=112, estimated count=38192, Key=3812411
[82] - <170 180 184 188 3404 4404 4426 4434 7092 7102 > true count=718, estimated count=38196, Key=5507232
[83] - <170 188 3404 4404 4434 4436 4438 7062 7092 7102 > true count=418, estimated count=38197, Key=5873218
[84] - <170 180 184 188 260 265 4434 4436 4438 7062 7092 7102 > true count=112, estimated count=38194, Key=6734843
[85] - <170 180 184 188 3404 4404 4428 4940 7102 > true count=719, estimated count=38193, Key=4293692
[86] - <170 3404 4404 4426 4430 7062 7102 > true count=6819, estimated count=38195, Key=2460726
[87] - <180 184 260 265 4426 4430 4438 7102 > true count=289, estimated count=38193, Key=3606917
[88] - <17 3403 3404 4404 4432 4438 7062 > true count=433, estimated count=38198, Key=6619294
[89] - <17 180 184 188 3403 3404 4404 4426 4438 > true count=1096, estimated count=38199, Key=6645964
[90] - <17 4430 4432 4438 4940 7062 7112 > true count=1188, estimated count=38201, Key=4526323
[91] - <17 260 265 3404 4404 4428 4434 4438 7102 > true count=778, estimated count=38196, Key=6207304
[92] - <17 180 184 188 260 265 4434 4436 7062 7112 > true count=289, estimated count=38198, Key=4573714
[93] - <180 184 188 4426 4430 4432 4434 4438 4940 7062 7102 > true count=171, estimated count=38193, Key=7344776
[94] - <180 184 3404 4404 4426 4428 4432 4436 7102 > true count=692, estimated count=38193, Key=4568360
[95] - <17 170 188 260 265 3404 4404 4434 4438 7102 > true count=597, estimated count=38196, Key=6890910
[96] - <180 184 188 3404 4404 4940 7092 7102 > true count=718, estimated count=38192, Key=773622
[97] - <180 184 188 3404 4404 4432 4436 7092 7102 > true count=437, estimated count=38192, Key=6097082
[98] - <170 180 184 260 265 4426 4436 4940 7062 7092 7102 > true count=112, estimated count=38192, Key=3770701
[99] - <180 184 188 4426 4432 4434 4436 4438 7062 7092 7102 7112 > true count=287, estimated count=38191, Key=5614770
[100] - <170 180 184 260 265 4426 4432 7102 7112 > true count=287, estimated count=38190, Key=3412175
[101] - <180 184 260 265 4428 4434 7102 7112 > true count=287, estimated count=38190, Key=404293
[102] - <17 180 184 4426 4428 4432 7062 7102 7112 > true count=287, estimated count=38190, Key=4807663
[103] - <17 180 184 4426 4436 7092 7102 7112 > true count=287, estimated count=38190, Key=3141701
[104] - <180 184 260 265 4426 4428 4436 7062 7082 7102 > true count=136, estimated count=38192, Key=1193085
[105] - <170 180 184 4426 4434 4436 4940 7062 7082 7092 7102 > true count=112, estimated count=38192, Key=3311176
[106] - <170 180 184 4426 4432 4436 4940 7062 7082 7092 7102 > true count=67, estimated count=38192, Key=3305678
[107] - <170 180 184 4426 4430 4432 4436 4940 7062 7092 7102 > true count=67, estimated count=38192, Key=1044610
[108] - <17 260 265 3404 4404 7062 7092 7102 > true count=751, estimated count=38193, Key=1008546
[109] - <260 265 4426 4428 4430 7062 7102 > true count=5512, estimated count=38194, Key=774807
[110] - <17 170 260 265 3404 4404 7092 7102 > true count=750, estimated count=38196, Key=4929846
[111] - <17 180 184 188 4428 4430 7062 7102 > true count=289, estimated count=38192, Key=7463903
[112] - <170 188 260 265 3404 4404 4428 4436 4438 7102 > true count=718, estimated count=38197, Key=4315579
[113] - <180 184 188 260 265 4430 4438 7102 > true count=291, estimated count=38195, Key=7069875
[114] - <3404 4404 4426 4434 4438 7102 7112 > true count=775, estimated count=38193, Key=3263384
[115] - <180 184 260 265 3404 4404 4426 4436 7062 7102 > true count=718, estimated count=38192, Key=5739887
[116] - <17 170 180 184 4426 4428 4434 4436 7092 7102 > true count=289, estimated count=38192, Key=919513
[117] - <180 184 188 3404 4404 4428 4432 4434 4436 7102 > true count=342, estimated count=38192, Key=5832472
[118] - <17 180 184 3404 4404 4432 4434 4438 7092 7102 > true count=342, estimated count=38193, Key=7301207
[119] - <170 180 184 260 265 4428 4432 4434 4438 4940 7062 7102 > true count=147, estimated count=38193, Key=4123215
[120] - <170 3404 4404 4426 4428 4432 7092 7102 > true count=777, estimated count=38193, Key=500090
[121] - <188 260 265 3404 4404 4428 4436 4438 7062 7102 > true count=719, estimated count=38195, Key=7422795
[122] - <17 170 180 184 188 4428 4434 4438 4940 7102 > true count=341, estimated count=38197, Key=3092109
[123] - <17 180 184 260 265 4426 4436 4940 7062 7092 7102 > true count=112, estimated count=38192, Key=3770548
[124] - <17 188 4426 4428 4432 4434 4436 4438 4940 7062 > true count=1094, estimated count=38201, Key=5926505
[125] - <188 260 265 3404 4404 4432 4434 4438 7062 7102 > true count=778, estimated count=38196, Key=7428277
[126] - <180 184 188 4426 4428 4432 4434 4436 7062 7082 7092 7102 > true count=112, estimated count=38193, Key=5528058
[127] - <17 170 260 265 3404 4404 4436 7062 7102 > true count=750, estimated count=38197, Key=4572424
[128] - <180 184 188 260 265 4430 7062 7102 > true count=290, estimated count=38210, Key=3670579
[129] - <17 170 180 184 260 265 3404 4404 4428 4438 7092 7112 > true count=276, estimated count=38199, Key=6459794
[130] - <17 170 188 4428 4436 4940 7062 7112 > true count=1092, estimated count=38198, Key=2761981
[131] - <17 180 184 188 4426 4428 4438 7062 7102 7112 > true count=288, estimated count=38194, Key=975941
[132] - <170 180 184 188 260 265 4428 4432 4436 7062 7112 > true count=288, estimated count=38199, Key=2223681
[133] - <17 180 184 188 260 265 3404 4404 4426 4428 7092 7112 > true count=276, estimated count=38198, Key=6464768
[134] - <170 180 184 188 260 265 4432 4436 7062 7082 7102 > true count=113, estimated count=38203, Key=3682441
[135] - <170 188 3404 4404 4428 4436 7062 7092 7102 > true count=719, estimated count=38193, Key=1234570
[136] - <17 180 184 188 4426 4430 7062 7102 > true count=289, estimated count=38192, Key=7458405
[137] - <17 170 180 184 260 265 3404 4404 4432 7102 > true count=343, estimated count=38195, Key=6050794
[138] - <170 180 184 188 260 265 3404 4404 4428 7062 7102 > true count=719, estimated count=38197, Key=5172243
[139] - <170 188 260 265 3404 4404 4432 4438 7062 7102 > true count=753, estimated count=38197, Key=5768593
[140] - <180 184 260 265 4426 4436 4438 4940 7062 7092 7102 > true count=112, estimated count=38193, Key=359509
[141] - <170 188 3404 4404 4426 4432 4434 4438 7062 7102 > true count=780, estimated count=38198, Key=5800184
[142] - <180 184 4426 4428 4432 4434 4436 4438 4940 7062 7082 7102 > true count=158, estimated count=38193, Key=2062304
[143] - <17 170 180 184 188 4426 7082 7102 > true count=289, estimated count=38192, Key=3363881
[144] - <17 170 188 260 265 4426 4428 4434 4436 7062 7092 > true count=380, estimated count=38199, Key=2240898
[145] - <17 180 184 260 265 4426 4436 7062 7082 7102 > true count=112, estimated count=38200, Key=4641614
[146] - <17 180 184 3404 4404 4428 4438 4940 7092 7112 > true count=340, estimated count=38206, Key=7317359
[147] - <188 260 265 3404 4404 4428 4432 4438 7062 7102 > true count=776, estimated count=38194, Key=7405111
[148] - <17 170 180 184 188 3404 4404 4430 4434 4438 4940 > true count=424, estimated count=38202, Key=5587109
[149] - <180 184 188 3404 4404 4426 4432 4434 4438 7062 7102 > true count=684, estimated count=38195, Key=4931530
[150] - <17 170 180 184 188 4426 4434 4438 4940 7102 > true count=341, estimated count=38194, Key=3084947
[151] - <188 260 265 3404 4404 4432 4436 4438 7102 > true count=720, estimated count=38196, Key=6230641
[152] - <17 180 184 4426 4430 4434 4438 7102 > true count=289, estimated count=38193, Key=4329355
[153] - <17 170 260 265 3404 4404 4436 7112 > true count=751, estimated count=38199, Key=687680
[154] - <17 170 188 3404 4404 4428 4434 7062 7102 > true count=591, estimated count=38197, Key=6066065
[155] - <170 188 260 265 3403 3404 4404 4434 > true count=1115, estimated count=38198, Key=4469780
[156] - <17 170 180 184 260 265 4430 4432 4436 7062 7092 > true count=103, estimated count=38199, Key=2174152
[157] - <260 265 3404 4404 4426 4434 4436 7062 7102 > true count=751, estimated count=38197, Key=4654543
[158] - <180 184 188 3403 3404 4404 4426 7062 7092 > true count=423, estimated count=38211, Key=3196111
[159] - <17 170 4428 4430 4438 4940 7062 7112 > true count=1091, estimated count=38200, Key=482425
[160] - <17 170 180 184 3404 4404 4426 4428 4438 7102 > true count=278, estimated count=38193, Key=4036977
[161] - <180 184 188 4426 4428 4432 4436 4940 7062 7082 7092 > true count=68, estimated count=38198, Key=1014006
[162] - <17 180 184 3404 4404 4426 4432 4434 7062 7102 > true count=342, estimated count=38192, Key=7254465
[163] - <188 260 265 3404 4404 4426 4432 7062 7102 > true count=777, estimated count=38197, Key=6194095
[164] - <17 180 184 3404 4404 4426 4432 4438 7062 7102 > true count=343, estimated count=38197, Key=7254469
[165] - <17 170 3404 4404 4434 4436 4438 4940 7092 > true count=2832, estimated count=38200, Key=4632739
[166] - <170 180 184 260 265 4432 4434 4436 7062 7082 7102 > true count=137, estimated count=38218, Key=3770551
[167] - <170 180 184 188 260 265 3404 4404 4434 4438 7062 7102 > true count=651, estimated count=38200, Key=6394307
[168] - <170 180 184 260 265 3404 4404 4428 4434 7062 7102 > true count=649, estimated count=38200, Key=5994549
[169] - <17 4426 4430 4432 4434 4436 4438 7062 > true count=2313, estimated count=38200, Key=4400327
[170] - <17 180 184 188 4430 4432 4434 4438 7112 > true count=342, estimated count=38200, Key=7245775
[171] - <170 180 184 188 4428 4430 4434 7062 7082 > true count=172, estimated count=38200, Key=7219482
[172] - <17 3404 4404 4426 4428 4430 4436 4438 > true count=2313, estimated count=38200, Key=3747935
[173] - <17 188 260 265 4426 4434 4438 7092 7102 > true count=392, estimated count=38196, Key=8050
[174] - <17 170 260 265 3403 3404 4404 7062 > true count=1098, estimated count=38200, Key=4462409
[175] - <17 170 180 184 4426 4432 4434 4438 7062 7092 7102 > true count=290, estimated count=38194, Key=59425
[176] - <170 180 184 260 265 4428 4436 4438 4940 7062 7092 7102 > true count=112, estimated count=38193, Key=7083225
[177] - <170 260 265 3404 4404 4432 4434 4438 7062 7102 > true count=754, estimated count=38198, Key=7428259
[178] - <17 170 3403 3404 4404 4438 7062 7092 > true count=433, estimated count=38204, Key=2786734
[179] - <170 260 265 3404 4404 4436 4438 7092 7102 > true count=5878, estimated count=38200, Key=6256443
[180] - <17 180 184 188 260 265 3404 4404 4426 4432 4434 4940 7062 > true count=343, estimated count=38203, Key=5490484
[181] - <170 180 184 188 260 265 4426 4434 7062 7092 7102 > true count=289, estimated count=38206, Key=3668203
[182] - <170 180 184 188 4426 4428 4436 4438 4940 7062 7082 7102 > true count=171, estimated count=38193, Key=3358388
[183] - <17 188 260 265 3404 4404 4436 4438 7102 > true count=597, estimated count=38196, Key=4579646
[184] - <17 3404 4404 4428 4430 4432 4434 7092 > true count=379, estimated count=38199, Key=3758393
[185] - <17 188 260 265 3404 4404 4428 4438 7102 > true count=778, estimated count=38203, Key=4544278
[186] - <188 3404 4404 4426 4432 4940 7062 7092 7112 > true count=6803, estimated count=38198, Key=6087876
[187] - <260 265 3404 4404 4426 4432 4434 7062 7102 > true count=777, estimated count=38197, Key=4638539
[188] - <17 180 184 4430 4434 4438 7062 7102 > true count=291, estimated count=38199, Key=963351
[189] - <17 188 3404 4404 4430 7062 7112 > true count=1098, estimated count=38199, Key=6972785
[190] - <170 3403 3404 4404 4426 4428 4434 4438 7062 > true count=1290, estimated count=38198, Key=6316107
[191] - <170 180 184 188 4426 4428 4432 4434 4940 7062 7082 > true count=172, estimated count=38201, Key=6317302
[192] - <17 170 180 184 188 260 265 3404 4404 4434 4436 7062 7092 > true count=421, estimated count=38202, Key=4812992
[193] - <17 170 188 3404 4404 4426 4428 4438 7102 > true count=778, estimated count=38201, Key=6029753
[194] - <17 170 180 184 3404 4404 4428 4432 4438 7102 > true count=343, estimated count=38194, Key=4045823
[195] - <180 184 260 265 4434 4436 4438 7062 7082 7092 7102 > true count=112, estimated count=38193, Key=394563
[196] - <180 184 260 265 4428 4432 4436 7062 7082 7092 7102 > true count=112, estimated count=38192, Key=354903
[197] - <170 180 184 188 4430 4432 4436 4940 7062 7092 7102 > true count=102, estimated count=38192, Key=98276
[198] - <17 180 184 3404 4404 4426 7062 7092 7102 > true count=289, estimated count=38192, Key=2677875
[199] - <17 180 184 4432 4438 7092 7102 7112 > true count=287, estimated count=38191, Key=3159157
[200] - <170 180 184 188 4428 4432 4436 4438 7092 7102 7112 > true count=287, estimated count=38191, Key=140906
[201] - <180 184 188 4426 7062 7082 7102 7112 > true count=287, estimated count=38190, Key=2832032
[202] - <180 184 4426 4432 7082 7102 7112 > true count=287, estimated count=38190, Key=716190
[203] - <17 180 184 4426 4432 7092 7102 7112 > true count=287, estimated count=38190, Key=3130705
[204] - <17 180 184 188 4426 4428 4432 4434 7092 7102 > true count=289, estimated count=38192, Key=929027
[205] - <170 180 184 188 4426 4428 4432 4436 7092 7102 7112 > true count=287, estimated count=38190, Key=103398
[206] - <180 184 4426 4434 4436 7062 7082 7102 7112 > true count=169, estimated count=38190, Key=4567818
