time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
10,23,65,199936,0.609000,1,10
20,23,187,199814,0.544000,2,23
30,23,300,199701,2.495000,3,40
40,23,355,199646,0.660000,4,54
50,23,487,199514,0.836000,5,51
60,23,536,199465,0.530000,6,70
70,23,597,199404,0.961000,7,61
80,23,588,199413,0.650000,8,85
90,23,783,199218,0.768000,9,69
100,23,819,199182,0.547000,10,63
110,23,885,199116,0.739000,11,69
120,23,844,199157,0.328000,12,100
130,23,927,199074,0.754000,13,77
140,23,936,199065,0.667000,14,75
150,23,916,199085,0.612000,15,100
160,23,911,199090,0.532000,16,81
170,23,920,199081,0.491000,17,68
180,23,931,199070,0.441000,18,65
190,23,921,199080,0.476000,19,82
200,23,904,199097,0.469000,20,83
210,23,965,199036,0.816000,21,62
220,23,956,199045,0.518000,22,87
230,23,1007,198994,1.081000,23,53
240,23,1031,198970,0.814000,24,57
250,23,1046,198955,1.466000,25,73
260,23,1033,198968,0.480000,26,76
270,23,1026,198975,0.639000,27,79
280,23,1021,198980,0.450000,28,85
290,23,1011,198990,0.398000,29,87
300,23,983,199018,0.572000,30,97
310,23,1174,198827,1.965000,31,73
320,23,1184,198817,0.867000,32,79
330,23,1196,198805,0.389000,33,60
340,23,1338,198663,0.727000,34,80
350,23,1372,198629,0.918000,35,64
360,23,1349,198652,0.720000,36,97
370,23,1348,198653,0.766000,37,98
380,23,1335,198666,0.461000,38,68
390,23,1506,198495,0.918000,39,74
400,23,1498,198503,0.588000,40,89
410,23,1476,198525,0.572000,41,82
420,23,1471,198530,0.433000,42,87
430,23,1484,198517,0.486000,43,67
440,23,1465,198536,0.426000,44,86
450,23,1529,198472,2.491000,45,83
460,23,1513,198488,0.388000,46,69
470,23,1529,198472,0.461000,47,64
480,23,1495,198506,0.442000,48,83
490,23,1461,198540,0.457000,49,88
500,23,1458,198543,0.360000,50,69
510,23,1502,198499,0.646000,51,60
520,23,1498,198503,0.627000,52,75
530,23,1478,198523,0.472000,53,83
540,23,1492,198509,0.446000,54,88
550,23,1508,198493,0.419000,55,75
560,23,1501,198500,0.371000,56,65
570,23,1514,198487,0.480000,57,81
580,23,1508,198493,0.518000,58,70
590,23,1514,198487,0.583000,59,68
600,23,1512,198489,0.479000,60,77
610,23,1523,198478,0.482000,61,75
620,23,1531,198470,0.503000,62,71
630,23,1497,198504,0.424000,63,84
640,23,1765,198236,1.002000,64,69
650,23,1769,198232,0.609000,65,80
660,23,1775,198226,0.468000,66,82
670,23,1787,198214,0.856000,67,82
680,23,1756,198245,0.427000,68,78
690,23,1745,198256,0.478000,69,85
700,23,1764,198237,0.852000,70,68
710,23,1751,198250,0.442000,71,69
720,23,1751,198250,0.327000,72,73
730,23,1768,198233,0.592000,73,65
