time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
14896,58,12000,12001,9.369000,1,101
14925,23,12000,12001,10.680000,2,301
14934,19,12000,12001,2.044000,3,28
14939,25,12000,12001,9.788000,4,348
14943,17,12000,12001,5.700000,5,165
14956,20,12000,12001,2.900000,6,61
14960,20,12000,12001,19.326000,7,682
14961,21,12000,12001,80.177000,9,2269
14965,18,12000,12001,5.437000,10,186
14967,23,12000,12001,21.544000,11,798
14972,28,12000,12001,23.474000,12,881
14973,20,12000,12001,6.878000,13,212
14983,16,12000,12001,5.814000,14,200
14998,16,12000,12001,7.905000,15,245
15016,15,12000,12001,4.395000,16,127
15050,12,12000,12001,2.474000,17,60
15125,10,12000,12001,1.852000,18,23
15285,5,12000,12001,0.845000,19,5
15769,4,12000,12001,0.750000,20,1
