---OutputTable---
time=16763
table_size=3895
[1] - <7 61 378 1134 > true count=19, estimated count=20, Key=2757998
[2] - <57 619 > true count=1, estimated count=21, Key=338650
[3] - <18 367 940 > true count=1, estimated count=20, Key=1356027
[4] - <5 63 139 970 > true count=1, estimated count=21, Key=2138507
[5] - <132 347 > true count=1, estimated count=21, Key=189941
[6] - <5 21 126 265 > true count=1, estimated count=20, Key=694491
[7] - <23 61 > true count=2, estimated count=20, Key=33390
[8] - <23 57 1173 > true count=2, estimated count=21, Key=1472819
[9] - <4 38 63 120 234 764 881 > true count=1, estimated count=21, Key=111428
[10] - <19 92 139 275 869 1155 > true count=1, estimated count=21, Key=7294185
[11] - <303 378 500 935 > true count=1, estimated count=21, Key=2685024
[12] - <5 525 > true count=2, estimated count=20, Key=287180
[13] - <57 165 621 > true count=1, estimated count=20, Key=853521
[14] - <7 48 498 > true count=2, estimated count=20, Key=638305
[15] - <2 7 530 1134 > true count=1, estimated count=20, Key=2915263
[16] - <101 569 > true count=1, estimated count=21, Key=311344
[17] - <5 105 120 131 152 674 > true count=1, estimated count=21, Key=3297445
[18] - <5 569 911 1177 > true count=1, estimated count=21, Key=3776628
[19] - <7 54 57 120 132 275 > true count=1, estimated count=21, Key=1686401
[20] - <105 252 569 > true count=1, estimated count=21, Key=837250
[21] - <792 911 > true count=1, estimated count=21, Key=499109
[22] - <63 139 872 > true count=1, estimated count=21, Key=1147784
[23] - <76 500 1028 1103 > true count=1, estimated count=21, Key=3735267
[24] - <120 139 250 > true count=1, estimated count=21, Key=383403
[25] - <2 57 63 465 1134 > true count=4, estimated count=20, Key=4152719
[26] - <5 63 378 911 > true count=1, estimated count=20, Key=2314651
[27] - <4 303 853 > true count=4, estimated count=20, Key=1214082
[28] - <7 84 120 > true count=1, estimated count=20, Key=193435
[29] - <5 7 18 48 54 120 460 767 > true count=1, estimated count=20, Key=2734213
[30] - <468 995 > true count=1, estimated count=20, Key=544733
[31] - <5 7 71 > true count=1, estimated count=20, Key=91093
[32] - <57 154 214 252 645 > true count=1, estimated count=21, Key=2622642
[33] - <5 61 63 266 320 > true count=1, estimated count=21, Key=1520617
[34] - <4 57 94 126 367 > true count=1, estimated count=21, Key=1406710
[35] - <32 48 54 214 882 > true count=1, estimated count=21, Key=2943774
[36] - <8 63 715 > true count=1, estimated count=21, Key=913204
[37] - <48 54 61 120 460 > true count=21, estimated count=21, Key=1608255
[38] - <57 213 > true count=2, estimated count=21, Key=116568
[39] - <2 69 498 1134 > true count=1, estimated count=21, Key=2909849
[40] - <54 56 63 193 646 > true count=1, estimated count=21, Key=2268616
[41] - <63 167 287 853 > true count=1, estimated count=21, Key=2144164
[42] - <39 57 105 171 478 > true count=1, estimated count=21, Key=1815088
[43] - <101 147 > true count=1, estimated count=21, Key=80510
[44] - <7 63 202 > true count=1, estimated count=21, Key=282726
[45] - <90 113 > true count=1, estimated count=21, Key=61901
[46] - <5 16 36 57 252 378 567 > true count=1, estimated count=21, Key=4719675
[47] - <23 63 252 381 568 > true count=1, estimated count=21, Key=2664957
[48] - <5 303 869 > true count=1, estimated count=21, Key=1233747
[49] - <53 303 378 500 > true count=1, estimated count=21, Key=1626856
[50] - <7 18 105 > true count=1, estimated count=21, Key=138898
[51] - <54 729 > true count=2, estimated count=20, Key=398817
[52] - <57 252 378 460 > true count=20, estimated count=20, Key=1519243
[53] - <4 7 54 63 139 460 > true count=20, estimated count=20, Key=2225129
[54] - <5 48 465 > true count=6, estimated count=20, Key=597746
[55] - <54 57 514 750 > true count=1, estimated count=20, Key=2157689
[56] - <57 76 378 > true count=2, estimated count=20, Key=506191
[57] - <75 77 139 > true count=2, estimated count=20, Key=213025
[58] - <567 920 > true count=3, estimated count=20, Key=503807
[59] - <7 105 512 853 > true count=1, estimated count=20, Key=2386719
[60] - <367 569 1134 > true count=2, estimated count=20, Key=1705296
[61] - <4 51 > true count=5, estimated count=20, Key=27901
[62] - <21 140 215 > true count=1, estimated count=20, Key=340836
[63] - <63 378 465 > true count=6, estimated count=20, Key=778314
[64] - <57 214 378 > true count=2, estimated count=21, Key=581677
[65] - <48 120 294 465 647 > true count=1, estimated count=21, Key=3132362
[66] - <378 460 911 > true count=1, estimated count=21, Key=1371617
[67] - <5 57 63 134 > true count=1, estimated count=21, Key=375673
[68] - <4 13 15 21 > true count=1, estimated count=21, Key=67403
[69] - <23 48 895 1200 > true count=1, estimated count=21, Key=3517834
[70] - <5 23 30 114 120 252 367 663 1107 > true count=1, estimated count=21, Key=3737649
[71] - <2 101 120 362 435 > true count=1, estimated count=21, Key=2120010
[72] - <20 61 214 > true count=1, estimated count=21, Key=296393
[73] - <5 20 460 > true count=1, estimated count=21, Key=576285
[74] - <4 5 139 737 > true count=1, estimated count=21, Key=1642411
[75] - <139 352 992 > true count=1, estimated count=21, Key=1411851
[76] - <63 378 645 > true count=2, estimated count=21, Key=999534
[77] - <7 57 252 300 378 > true count=1, estimated count=21, Key=1977916
[78] - <7 54 57 139 270 > true count=1, estimated count=21, Key=1118855
[79] - <300 303 450 645 > true count=1, estimated count=21, Key=2004576
[80] - <18 23 48 54 120 > true count=21, estimated count=21, Key=509093
[81] - <19 57 303 > true count=4, estimated count=21, Key=403585
[82] - <252 378 393 409 > true count=1, estimated count=21, Key=1505152
[83] - <685 995 > true count=1, estimated count=21, Key=544950
[84] - <23 37 48 247 436 486 581 > true count=1, estimated count=21, Key=6079056
[85] - <48 153 161 729 841 1016 > true count=1, estimated count=21, Key=184710
[86] - <54 120 286 500 > true count=1, estimated count=21, Key=1413688
[87] - <28 32 109 > true count=1, estimated count=21, Key=151493
[88] - <54 120 303 > true count=4, estimated count=21, Key=438081
[89] - <378 859 1027 > true count=1, estimated count=21, Key=1732434
[90] - <482 616 > true count=1, estimated count=21, Key=337434
[91] - <513 569 > true count=1, estimated count=21, Key=311756
[92] - <50 57 101 120 261 354 > true count=1, estimated count=21, Key=2379681
[93] - <23 255 920 1081 > true count=1, estimated count=21, Key=3424621
[94] - <178 224 378 503 > true count=1, estimated count=21, Key=1589747
[95] - <120 927 1134 > true count=1, estimated count=21, Key=1900875
[96] - <19 48 57 568 > true count=1, estimated count=21, Key=1228352
[97] - <178 568 > true count=1, estimated count=21, Key=310874
[98] - <31 445 > true count=1, estimated count=21, Key=243446
[99] - <23 57 347 435 1043 > true count=1, estimated count=21, Key=4191827
[100] - <7 154 > true count=1, estimated count=21, Key=84245
[101] - <5 61 105 129 380 920 > true count=1, estimated count=21, Key=4758654
[102] - <7 48 57 252 378 1134 > true count=19, estimated count=20, Key=5698528
[103] - <5 927 > true count=3, estimated count=20, Key=507074
[104] - <7 18 61 460 > true count=20, estimated count=21, Key=1001602
[105] - <2 5 20 63 > true count=1, estimated count=20, Key=152876
[106] - <2 5 7 54 63 > true count=2, estimated count=20, Key=292149
[107] - <48 61 63 120 378 1134 > true count=19, estimated count=20, Key=5449978
[108] - <7 19 213 231 378 931 > true count=1, estimated count=20, Key=5105593
[109] - <19 139 928 > true count=1, estimated count=20, Key=1216564
[110] - <4 5 7 63 139 460 > true count=20, estimated count=20, Key=2166272
[111] - <120 134 928 > true count=1, estimated count=20, Key=1213930
[112] - <5 57 61 378 1134 > true count=20, estimated count=21, Key=3976873
[113] - <18 57 63 252 367 > true count=19, estimated count=20, Key=1619743
[114] - <4 7 48 57 378 1134 > true count=19, estimated count=20, Key=5276402
[115] - <57 222 378 > true count=2, estimated count=20, Key=586053
[116] - <4 77 > true count=2, estimated count=20, Key=42123
[117] - <174 > true count=20, estimated count=20, Key=174
[118] - <120 404 500 > true count=1, estimated count=20, Key=835608
[119] - <54 59 500 > true count=1, estimated count=20, Key=646827
[120] - <54 252 397 > true count=3, estimated count=20, Key=625811
[121] - <5 19 134 > true count=1, estimated count=20, Key=175084
[122] - <18 252 303 > true count=2, estimated count=20, Key=510249
[123] - <57 63 453 600 > true count=1, estimated count=20, Key=1787055
[124] - <4 5 54 63 1173 > true count=2, estimated count=20, Key=3419241
[125] - <57 367 519 622 > true count=1, estimated count=20, Key=2078303
[126] - <5 48 126 1173 > true count=2, estimated count=20, Key=2518904
[127] - <32 544 > true count=1, estimated count=20, Key=297600
[128] - <48 1215 > true count=1, estimated count=21, Key=664653
[129] - <18 367 378 > true count=20, estimated count=21, Key=665329
[130] - <2 5 54 63 378 569 > true count=1, estimated count=21, Key=3271373
[131] - <7 378 853 > true count=4, estimated count=21, Key=1255110
[132] - <5 451 911 > true count=1, estimated count=21, Key=1366321
[133] - <7 32 63 76 460 1203 > true count=1, estimated count=21, Key=5818889
