---OutputTable---
time=19459
table_size=138
[1] - <7122 9674 > true count=1, estimated count=2953, Key=5298800
[2] - <90 193 373 1365 1654 3740 > true count=1, estimated count=2953, Key=6224309
[3] - <234 > true count=2, estimated count=2953, Key=234
[4] - <246 716 719 989 1211 1212 1213 1214 1215 1279 1330 1462 1687 > true count=1, estimated count=2954, Key=1227095
[5] - <155 > true count=4, estimated count=2953, Key=155
[6] - <33 528 > true count=39, estimated count=2953, Key=288849
[7] - <24 25 26 27 32 33 35 36 37 38 39 42 43 45 47 348 368 475 5811 > true count=1, estimated count=2953, Key=3637219
[8] - <24 25 26 27 32 33 35 36 37 38 39 42 43 45 50 348 559 718 1665 2275 7454 > true count=1, estimated count=2954, Key=4059815
[9] - <133 134 1144 1606 > true count=1, estimated count=2954, Key=4680165
[10] - <1 2 3 4 5 6 907 2382 > true count=1, estimated count=2954, Key=4060214
[11] - <2191 6695 > true count=1, estimated count=2953, Key=3664356
[12] - <28 1763 > true count=1, estimated count=2953, Key=964389
[13] - <1122 1205 3925 > true count=1, estimated count=2953, Key=5484082
[14] - <24 25 26 27 32 33 35 36 37 38 39 42 43 45 293 348 1140 > true count=1, estimated count=2953, Key=2665139
[15] - <325 > true count=1, estimated count=2953, Key=325
[16] - <136 > true count=2, estimated count=2954, Key=136
[17] - <60 62 140 1238 > true count=1, estimated count=2954, Key=2673368
[18] - <24 35 36 37 38 39 42 43 45 156 348 384 2178 > true count=1, estimated count=2953, Key=2831937
[19] - <32 35 36 37 38 39 60 1280 > true count=1, estimated count=2954, Key=647823
[20] - <24 56 327 636 901 1112 1540 2491 3474 > true count=1, estimated count=2953, Key=1870117
[21] - <24 25 26 27 32 33 56 99 1691 2168 > true count=1, estimated count=2954, Key=4142729
[22] - <356 357 358 > true count=4, estimated count=2954, Key=635617
[23] - <191 192 315 1457 > true count=1, estimated count=2953, Key=3396151
[24] - <56 1668 2457 6613 > true count=1, estimated count=2953, Key=2111814
[25] - <6583 > true count=1, estimated count=2953, Key=6583
[26] - <24 25 26 27 32 33 56 559 1904 4013 > true count=1, estimated count=2954, Key=6527205
[27] - <687 1827 > true count=1, estimated count=2953, Key=1000056
[28] - <5 6 24 25 26 27 33 > true count=49, estimated count=2957, Key=396662
[29] - <107 > true count=1, estimated count=2953, Key=107
[30] - <1 2 3 33 > true count=64, estimated count=2953, Key=70551
[31] - <274 1431 > true count=1, estimated count=2953, Key=783031
[32] - <25 26 27 32 33 559 > true count=7, estimated count=2956, Key=2203702
[33] - <32 35 36 37 38 39 156 > true count=3, estimated count=2955, Key=1070959
[34] - <5 6 24 26 27 32 33 > true count=48, estimated count=2955, Key=419309
[35] - <131 > true count=2, estimated count=2954, Key=131
[36] - <5 6 24 25 26 27 32 > true count=48, estimated count=2954, Key=392241
[37] - <24 25 26 27 32 35 36 37 38 39 42 43 45 348 > true count=6, estimated count=2959, Key=2442243
[38] - <24 25 26 27 32 33 1442 > true count=1, estimated count=2953, Key=6680687
[39] - <24 25 26 27 32 33 35 36 37 38 43 45 > true count=2962, estimated count=2963, Key=736721
[40] - <24 25 26 27 32 33 35 36 37 38 39 42 43 45 348 > true count=3, estimated count=2955, Key=1073778
[41] - <1 35 36 37 38 > true count=65, estimated count=2956, Key=241593
[42] - <3 396 918 > true count=1, estimated count=2954, Key=1344837
