time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
2006,27,12000,12001,2.584000,1,25
2245,6,12000,12001,1.820000,2,1
2839,33,12000,12001,3.007000,3,20
3224,25,12000,12001,2.229000,4,11
3811,53,12000,12001,5.020000,5,81
4515,6,12000,12001,1.514000,6,2
5221,17,12000,12001,2.081000,7,9
5770,7,12000,12001,1.069000,8,3
6286,44,12000,12001,1.993000,9,21
6834,21,12000,12001,2.991000,10,25
7635,18,12000,12001,2.570000,11,20
8452,19,12000,12001,1.792000,12,6
9077,34,12000,12001,2.578000,13,25
9682,8,12000,12001,1.142000,14,2
10223,21,12000,12001,2.463000,15,22
11033,11,12000,12001,1.799000,16,5
11901,7,12000,12001,1.121000,17,4
12580,11,12000,12001,2.298000,18,11
13150,9,12000,12001,1.039000,19,5
13597,27,12000,12001,2.218000,20,15
14054,18,12000,12001,2.140000,21,9
14752,4,12000,12001,1.534000,22,1
15625,14,12000,12001,2.196000,23,11
16264,18,12000,12001,2.351000,24,20
16779,26,12000,12001,2.581000,25,22
17207,20,12000,12001,2.208000,26,9
17597,15,12000,12001,2.314000,27,8
17954,26,12000,12001,1.829000,28,16
18526,10,12000,12001,1.826000,29,5
19314,9,12000,12001,1.874000,30,3
19943,15,12000,12001,2.517000,31,9
20425,7,12000,12001,2.907000,32,3
20829,27,12000,12001,3.092000,33,39
21156,21,12000,12001,2.405000,34,17
21508,26,12000,12001,2.664000,35,24
22019,10,12000,12001,3.055000,36,3
22766,9,12000,12001,1.840000,37,2
23351,2,12000,12001,1.267000,38,1
23850,29,12000,12001,3.238000,39,30
24273,9,12000,12001,1.737000,40,4
24640,13,12000,12001,2.017000,41,9
25168,14,12000,12001,2.088000,42,12
25918,11,12000,12001,1.846000,43,3
26603,36,12000,12001,3.152000,44,27
27184,6,12000,12001,1.491000,45,2
27664,28,12000,12001,2.324000,46,9
28078,30,12000,12001,2.282000,47,17
28610,10,12000,12001,1.888000,48,6
29368,25,12000,12001,2.833000,49,19
30119,7,12000,12001,1.594000,50,2
30695,15,12000,12001,2.042000,51,12
31200,20,12000,12001,2.566000,52,13
31611,15,12000,12001,1.224000,53,4
32063,5,12000,12001,1.498000,54,2
32727,19,12000,12001,2.519000,55,16
33478,3,12000,12001,1.547000,56,1
34112,31,12000,12001,1.726000,57,12
34685,21,12000,12001,2.414000,58,18
35184,18,12000,12001,2.075000,59,9
35567,3,12000,12001,0.917000,60,1
35933,18,12000,12001,2.412000,61,18
36508,25,12000,12001,2.060000,62,13
37289,20,12000,12001,2.302000,63,13
37938,19,12000,12001,1.981000,64,4
38457,33,12000,12001,2.053000,65,18
38885,18,12000,12001,2.311000,66,14
39292,17,12000,12001,2.220000,67,11
39801,14,12000,12001,2.136000,68,6
40664,24,12000,12001,2.149000,69,12
41485,18,12000,12001,2.098000,70,7
42226,6,12000,12001,1.484000,71,4
42760,45,12000,12001,2.313000,72,24
43231,8,12000,12001,1.675000,73,1
43701,7,12000,12001,1.789000,74,2
44481,11,12000,12001,1.917000,75,5
45384,35,12000,12001,2.605000,76,17
46003,7,12000,12001,1.615000,77,3
46578,16,12000,12001,1.853000,78,8
47050,3,12000,12001,0.837000,79,1
47515,20,12000,12001,2.044000,80,5
48070,3,12000,12001,0.896000,81,2
48954,31,12000,12001,3.040000,82,21
49847,15,12000,12001,1.991000,83,8
50557,5,12000,12001,1.600000,84,1
51129,3,12000,12001,1.267000,85,1
51634,11,12000,12001,1.401000,86,6
52170,4,12000,12001,1.334000,87,1
53004,6,12000,12001,1.639000,88,3
53963,43,12000,12001,2.157000,89,19
54674,43,12000,12001,3.033000,90,21
55231,17,12000,12001,4.565000,91,39
55730,16,12000,12001,1.467000,92,7
56272,15,12000,12001,2.169000,93,9
57066,10,12000,12001,2.146000,94,5
57940,12,12000,12001,1.786000,95,6
58505,32,12000,12001,2.427000,96,29
58945,12,12000,12001,1.880000,97,5
59343,3,12000,12001,1.324000,98,1
59753,6,12000,12001,1.699000,99,3
60334,29,12000,12001,2.634000,100,15
61188,5,12000,12001,1.455000,101,2
61941,8,12000,12001,1.251000,102,2
62533,7,12000,12001,1.449000,103,1
62971,12,12000,12001,2.031000,104,8
63420,27,12000,12001,2.809000,105,34
63850,33,12000,12001,3.024000,106,28
64627,1,12000,12001,0.819000,107,1
65557,16,12000,12001,1.825000,108,7
66238,17,12000,12001,2.200000,109,8
66741,19,12000,12001,2.362000,110,10
67193,17,12000,12001,2.163000,111,9
67705,3,12000,12001,1.347000,112,1
68509,8,12000,12001,1.745000,113,5
69408,32,12000,12001,2.766000,114,31
70069,17,12000,12001,1.362000,115,7
70550,22,12000,12001,2.419000,116,14
70971,17,12000,12001,1.865000,117,2
71477,34,12000,12001,3.310000,118,28
72232,12,12000,12001,1.950000,119,7
72913,21,12000,12001,2.187000,120,14
73327,24,12000,12001,1.940000,121,8
73708,13,12000,12001,1.953000,122,5
74033,12,12000,12001,2.015000,123,7
74349,23,12000,12001,2.633000,124,15
74647,18,12000,12001,2.513000,125,21
75050,33,12000,12001,2.660000,126,20
75727,3,12000,12001,1.374000,127,1
76471,4,12000,12001,0.867000,128,2
76879,3,12000,12001,0.967000,129,2
77264,21,12000,12001,2.422000,130,15
77535,30,12000,12001,3.391000,131,22
77847,14,12000,12001,1.992000,132,4
78116,23,12000,12001,1.666000,133,7
78366,14,12000,12001,1.234000,134,4
78856,15,12000,12001,1.330000,135,5
79592,17,12000,12001,1.404000,136,10
80164,23,12000,12001,3.240000,137,34
80547,11,12000,12001,1.869000,138,6
80871,25,12000,12001,2.135000,139,12
81148,29,12000,12001,2.967000,140,19
81440,12,12000,12001,1.922000,141,11
81670,18,12000,12001,2.348000,142,10
81908,5,12000,12001,1.351000,143,3
82243,11,12000,12001,1.999000,144,6
82803,5,12000,12001,1.467000,145,4
83510,29,12000,12001,1.956000,146,9
84038,15,12000,12001,2.075000,147,9
84457,17,12000,12001,2.252000,148,8
84789,21,12000,12001,1.932000,149,15
85083,14,12000,12001,1.771000,150,6
85407,13,12000,12001,1.683000,151,5
85790,9,12000,12001,1.720000,152,4
86294,13,12000,12001,1.924000,153,4
87109,17,12000,12001,2.149000,154,7
87683,11,12000,12001,1.827000,155,5
88128,9,12000,12001,1.642000,156,8
