---OutputTable---
time=88161
table_size=6503
[1] - <261 16217 > true count=10, estimated count=156, Key=1370960
[2] - <39 41 1081 > true count=3, estimated count=156, Key=1351015
[3] - <48 89 12929 > true count=2, estimated count=156, Key=938472
[4] - <65 185 358 894 2652 5437 11276 > true count=1, estimated count=156, Key=3934425
[5] - <38 2212 > true count=2, estimated count=156, Key=1210002
[6] - <48 1609 2188 > true count=2, estimated count=156, Key=3569223
[7] - <48 13300 14933 > true count=1, estimated count=156, Key=3127805
[8] - <41 48 335 > true count=2, estimated count=156, Key=438012
[9] - <39 101 441 > true count=3, estimated count=156, Key=597275
[10] - <922 > true count=8, estimated count=156, Key=922
[11] - <237 1915 > true count=3, estimated count=156, Key=1047742
[12] - <664 12943 > true count=3, estimated count=156, Key=7080485
[13] - <150 1281 > true count=2, estimated count=156, Key=700857
[14] - <39 1796 12925 > true count=2, estimated count=156, Key=1867276
[15] - <48 544 13382 16430 16431 > true count=2, estimated count=156, Key=4657903
[16] - <32 39 48 407 3356 6268 16430 16431 > true count=1, estimated count=156, Key=216321
[17] - <41 48 2115 > true count=3, estimated count=156, Key=2625632
[18] - <1867 16217 > true count=10, estimated count=156, Key=1372566
[19] - <2836 > true count=13, estimated count=156, Key=2836
[20] - <409 > true count=3, estimated count=156, Key=409
[21] - <5596 > true count=12, estimated count=156, Key=5596
[22] - <14549 > true count=2, estimated count=156, Key=14549
[23] - <2473 > true count=3, estimated count=156, Key=2473
[24] - <48 1609 15618 > true count=2, estimated count=156, Key=5074693
[25] - <39 48 284 552 865 1403 5905 > true count=1, estimated count=156, Key=4983500
[26] - <39 48 1215 > true count=3, estimated count=156, Key=1519530
[27] - <6892 > true count=3, estimated count=156, Key=6892
[28] - <48 14827 > true count=7, estimated count=156, Key=610417
[29] - <41 48 65 13056 > true count=2, estimated count=156, Key=3626790
[30] - <39 48 3160 > true count=2, estimated count=156, Key=3909935
[31] - <13056 16217 > true count=9, estimated count=156, Key=1383755
[32] - <38 39 48 65 156 228 243 255 413 426 521 586 840 848 1025 1249 2191 2492 2875 2879 3151 3265 3782 4025 4143 4493 4705 4731 4883 6359 8124 9420 9618 10513 10598 10792 11394 12736 13524 13556 13602 14098 15818 16155 16250 16405 > true count=1, estimated count=157, Key=2916155
[33] - <32 39 65 123 147 185 237 961 1215 3926 10465 15618 > true count=1, estimated count=157, Key=4242001
[34] - <39 2513 > true count=3, estimated count=156, Key=1374650
[35] - <101 824 > true count=5, estimated count=156, Key=450829
[36] - <1456 > true count=79, estimated count=156, Key=1456
[37] - <32 227 > true count=1, estimated count=156, Key=124201
[38] - <39 41 48 398 > true count=3, estimated count=156, Key=874672
[39] - <4693 > true count=2, estimated count=156, Key=4693
[40] - <39 48 155 2306 > true count=2, estimated count=156, Key=4812648
[41] - <48 4546 > true count=20, estimated count=156, Key=2486710
[42] - <39 41 1588 > true count=1, estimated count=156, Key=1974118
[43] - <48 3343 > true count=2, estimated count=156, Key=1828669
[44] - <541 13189 > true count=2, estimated count=156, Key=7214924
[45] - <39 3569 > true count=3, estimated count=156, Key=1952282
[46] - <38 41 549 > true count=2, estimated count=156, Key=697186
[47] - <32 39 801 > true count=2, estimated count=156, Key=1005794
[48] - <48 3223 > true count=2, estimated count=156, Key=1763029
[49] - <41 571 > true count=5, estimated count=156, Key=312378
[50] - <32 41 48 126 2463 5236 6696 12959 15879 > true count=1, estimated count=156, Key=4155260
[51] - <10818 16010 > true count=19, estimated count=156, Key=1268288
[52] - <136 1067 15791 > true count=3, estimated count=156, Key=4990924
[53] - <48 4157 15238 > true count=1, estimated count=156, Key=6001429
[54] - <32 4209 > true count=3, estimated count=156, Key=2302355
[55] - <39 48 1741 > true count=2, estimated count=156, Key=2165984
[56] - <39 48 947 12925 > true count=2, estimated count=156, Key=4449683
[57] - <413 849 > true count=2, estimated count=156, Key=464816
