---OutputTable---
time=340182
table_size=626
[1] - <12 17 18 43 44 > true count=9, estimated count=179683, Key=238088
[2] - <1 8 10 12 14 15 16 17 18 21 22 24 25 26 27 28 29 30 31 41 43 46 49 53 56 59 61 63 64 66 83 96 97 102 128 140 > true count=1, estimated count=179684, Key=3476595
[3] - <12 16 17 23 27 31 66 > true count=53, estimated count=179683, Key=552516
[4] - <12 17 18 21 23 29 > true count=59, estimated count=179685, Key=240362
[5] - <1 8 10 12 14 15 16 17 18 21 24 25 26 27 28 29 30 31 39 42 43 46 47 61 62 63 64 65 66 70 88 94 95 140 161 178 180 200 > true count=1, estimated count=179684, Key=4197072
[6] - <12 15 16 17 23 > true count=56, estimated count=179683, Key=124989
[7] - <12 15 16 17 18 31 43 80 > true count=9, estimated count=179683, Key=412438
[8] - <12 17 18 21 27 29 38 43 46 63 64 66 > true count=3, estimated count=179684, Key=830974
[9] - <17 24 25 27 28 31 > true count=18, estimated count=179686, Key=285664
[10] - <1 12 16 17 18 22 25 29 31 38 41 43 59 66 > true count=4, estimated count=179685, Key=1065572
[11] - <10 12 17 18 21 23 27 66 > true count=58, estimated count=179685, Key=322866
[12] - <12 17 23 25 > true count=56, estimated count=179683, Key=87403
[13] - <12 16 17 18 22 25 31 41 43 59 60 66 > true count=7, estimated count=179684, Key=749672
[14] - <12 14 15 16 17 18 21 27 31 41 43 59 66 > true count=11, estimated count=179686, Key=813634
[15] - <9 12 17 > true count=57, estimated count=179683, Key=27466
[16] - <12 17 18 24 25 29 43 63 66 > true count=11, estimated count=179685, Key=478107
[17] - <12 16 17 18 21 23 31 > true count=55, estimated count=179686, Key=342674
[18] - <12 14 15 16 17 18 21 24 25 27 31 43 > true count=6, estimated count=179687, Key=488897
[19] - <17 24 29 31 63 66 > true count=17, estimated count=179688, Key=520102
[20] - <1 12 17 18 22 27 31 > true count=219, estimated count=179688, Key=357548
[21] - <10 12 17 18 21 24 27 38 43 66 > true count=5, estimated count=179684, Key=431054
[22] - <8 10 12 17 18 21 24 27 29 43 46 63 64 66 > true count=4, estimated count=179685, Key=1139466
[23] - <1 12 14 15 16 17 18 21 25 26 27 28 29 31 39 43 46 61 63 64 66 140 > true count=2, estimated count=179685, Key=1551402
[24] - <12 16 17 18 23 27 31 > true count=53, estimated count=179683, Key=362496
[25] - <12 14 15 16 17 18 22 25 31 43 > true count=10, estimated count=179685, Key=336275
[26] - <12 15 17 18 24 25 43 63 66 > true count=10, estimated count=179687, Key=446753
[27] - <10 17 27 28 66 > true count=35, estimated count=179686, Key=279730
[28] - <15 17 21 24 27 29 43 > true count=22, estimated count=179686, Key=451130
[29] - <12 16 17 18 25 28 31 41 43 59 60 66 > true count=7, estimated count=179686, Key=768662
[30] - <12 15 16 17 18 25 28 31 41 43 60 66 > true count=7, estimated count=179684, Key=700876
[31] - <17 21 24 27 31 38 41 43 > true count=16, estimated count=179684, Key=497412
[32] - <12 16 17 18 21 24 25 27 31 43 63 66 > true count=10, estimated count=179686, Key=696553
[33] - <12 16 17 18 24 29 31 63 > true count=17, estimated count=179687, Key=372470
[34] - <12 17 18 21 22 27 31 66 > true count=218, estimated count=179688, Key=367568
[35] - <8 16 17 21 27 29 > true count=12904, estimated count=179686, Key=249578
[36] - <8 12 16 17 18 24 25 31 41 43 66 > true count=7, estimated count=179690, Key=512911
[37] - <12 15 16 17 18 21 25 27 31 41 43 59 66 > true count=11, estimated count=179689, Key=848579
