time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
102,37,12000,12001,57.390000,3,435
105,37,12000,12001,24.437000,5,698
107,37,12000,12001,10.613000,6,295
112,37,12000,12001,5.267000,7,106
116,37,12000,12001,147.145000,12,3539
117,37,12000,12001,25.404000,13,718
118,37,12000,12001,52.764000,15,1639
119,37,12000,12001,6.138000,16,98
120,37,12000,12001,25.198000,17,716
125,37,12000,12001,40.581000,19,1227
128,37,12000,12001,21.127000,20,592
129,37,12000,12001,4.928000,21,27
130,37,12000,12001,151.341000,27,4389
131,37,12000,12001,19.022000,28,510
135,37,12000,12001,22.151000,30,605
137,37,12000,12001,15.824000,31,407
142,37,12000,12001,6.129000,32,143
149,37,12000,12001,2.279000,33,10
152,37,12000,12001,9.491000,34,237
161,37,12000,12001,4.381000,35,91
163,37,12000,12001,10.577000,36,266
174,37,12000,12001,4.545000,37,73
181,37,12000,12001,14.774000,39,414
184,37,12000,12001,3.558000,40,33
196,37,12000,12001,2.513000,41,5
203,37,12000,12001,30.062000,43,805
205,37,12000,12001,4.796000,44,57
212,37,12000,12001,11.138000,45,241
215,37,12000,12001,16.093000,47,359
220,37,12000,12001,11.248000,48,263
222,37,12000,12001,3.834000,49,25
227,37,12000,12001,8.739000,50,135
228,37,12000,12001,9.655000,51,196
235,37,12000,12001,14.686000,53,334
240,37,12000,12001,3.654000,54,22
247,37,12000,12001,22.227000,55,565
248,37,12000,12001,54.269000,58,1499
249,37,12000,12001,6.776000,59,78
253,37,12000,12001,14.062000,60,351
260,37,12000,12001,3.996000,61,25
262,37,12000,12001,21.580000,62,553
263,37,12000,12001,14.282000,63,278
264,37,12000,12001,152.848000,71,4427
265,37,12000,12001,264.378000,85,6950
278,37,12000,12001,5.524000,86,71
283,37,12000,12001,68.116000,93,1986
296,37,12000,12001,3.053000,94,19
298,37,12000,12001,151.953000,110,4696
300,37,12000,12001,11.046000,112,248
302,37,12000,12001,60.791000,118,1843
310,37,12000,12001,3.026000,119,13
318,37,12000,12001,3.717000,120,28
319,37,12000,12001,44.192000,127,1237
323,37,12000,12001,2.573000,128,4
328,37,12000,12001,2.611000,129,11
333,37,12000,12001,3.275000,130,34
339,37,12000,12001,2.899000,131,28
341,37,12000,12001,2.813000,132,23
345,37,12000,12001,402.306000,168,11312
355,37,12000,12001,3.502000,169,5
363,37,12000,12001,3.810000,170,7
372,37,12000,12001,4.251000,171,27
377,37,12000,12001,7.604000,172,149
380,37,12000,12001,6.078000,173,91
383,37,12000,12001,7.005000,174,121
388,37,12000,12001,27.565000,178,754
389,37,12000,12001,20.933000,180,463
390,37,12000,12001,17.139000,181,371
391,37,12000,12001,6.582000,182,68
398,37,12000,12001,18.418000,184,418
406,37,12000,12001,4.517000,185,11
407,37,12000,12001,27.321000,188,677
410,37,12000,12001,3.942000,189,17
414,37,12000,12001,7.609000,190,96
420,37,12000,12001,3.987000,191,14
431,37,12000,12001,17.845000,194,352
439,37,12000,12001,32.485000,199,675
443,37,12000,12001,12.973000,200,242
444,37,12000,12001,3.720000,201,5
454,37,12000,12001,64.536000,208,1578
457,37,12000,12001,13.460000,210,258
458,37,12000,12001,15.329000,211,283
467,37,12000,12001,4.154000,212,15
469,37,12000,12001,119.478000,226,3256
475,37,12000,12001,15.912000,229,291
476,37,12000,12001,80.823000,238,2448
480,37,12000,12001,3.924000,239,4
488,37,12000,12001,98.908000,253,2535
493,37,12000,12001,4.810000,254,47
498,37,12000,12001,6.071000,255,17
503,37,12000,12001,5.362000,256,25
508,37,12000,12001,7.015000,257,65
513,37,12000,12001,10.941000,259,145
515,37,12000,12001,6.900000,260,71
518,37,12000,12001,18.237000,262,310
521,37,12000,12001,416.887000,305,11095
526,37,12000,12001,4.373000,306,6
530,37,12000,12001,8.959000,307,120
537,37,12000,12001,8.040000,308,84
540,37,12000,12001,6.230000,309,65
548,37,12000,12001,23.089000,312,505
556,37,12000,12001,4.280000,313,5
560,37,12000,12001,444.387000,358,11548
566,37,12000,12001,10.652000,360,170
574,37,12000,12001,4.702000,361,26
579,37,12000,12001,3.927000,362,5
586,37,12000,12001,4.755000,363,32
587,37,12000,12001,11.180000,364,189
588,37,12000,12001,19.040000,366,376
589,37,12000,12001,11.262000,367,147
592,37,12000,12001,9.553000,368,124
595,37,12000,12001,12.419000,369,208
596,37,12000,12001,9.734000,370,192
598,37,12000,12001,267.379000,399,6001
601,37,12000,12001,2.852000,400,4
608,37,12000,12001,3.050000,401,7
613,37,12000,12001,3.768000,402,15
616,37,12000,12001,6.285000,403,82
618,37,12000,12001,5.797000,404,66
623,37,12000,12001,4.508000,405,37
627,37,12000,12001,4.462000,406,39
628,37,12000,12001,10.122000,407,181
632,37,12000,12001,5.204000,408,52
634,37,12000,12001,3.173000,409,8
636,37,12000,12001,8.267000,410,159
643,37,12000,12001,5.554000,411,61
644,37,12000,12001,18.227000,414,407
646,37,12000,12001,19.748000,418,402
651,37,12000,12001,7.904000,420,126
654,37,12000,12001,5.533000,421,64
656,37,12000,12001,6.803000,422,101
657,37,12000,12001,3.819000,423,30
661,37,12000,12001,5.603000,424,67
664,37,12000,12001,3.732000,425,32
665,37,12000,12001,7.174000,426,105
668,37,12000,12001,11.817000,429,253
671,37,12000,12001,7.580000,430,136
675,37,12000,12001,3.630000,431,12
679,37,12000,12001,3.682000,432,17
682,37,12000,12001,3.453000,433,27
686,37,12000,12001,37.697000,441,949
689,37,12000,12001,4.110000,442,25
692,37,12000,12001,7.218000,443,96
697,37,12000,12001,3.384000,444,13
699,37,12000,12001,8.234000,445,127
703,37,12000,12001,424.287000,508,11594
716,37,12000,12001,4.763000,509,32
724,37,12000,12001,4.353000,510,13
732,37,12000,12001,3.419000,511,5
742,37,12000,12001,5.354000,512,48
749,37,12000,12001,4.667000,513,23
755,37,12000,12001,4.197000,514,22
758,37,12000,12001,9.644000,515,151
764,37,12000,12001,5.726000,516,57
772,37,12000,12001,3.551000,517,8
778,37,12000,12001,13.502000,518,259
779,37,12000,12001,6.546000,519,64
782,37,12000,12001,4.494000,520,14
786,37,12000,12001,4.911000,521,36
796,37,12000,12001,25.294000,523,543
797,37,12000,12001,7.419000,524,67
800,37,12000,12001,9.245000,525,131
806,37,12000,12001,9.238000,526,106
814,37,12000,12001,10.753000,527,161
821,37,12000,12001,3.989000,528,8
828,37,12000,12001,347.682000,585,7031
831,37,12000,12001,9.246000,586,89
833,37,12000,12001,8.737000,587,90
836,37,12000,12001,18.284000,591,260
841,37,12000,12001,7.341000,592,60
844,37,12000,12001,19.324000,596,282
845,37,12000,12001,6.720000,597,34
847,37,12000,12001,7.329000,598,58
853,37,12000,12001,4.249000,599,6
855,37,12000,12001,35.118000,606,650
860,37,12000,12001,4.458000,607,7
866,37,12000,12001,4.595000,608,20
870,37,12000,12001,5.466000,609,39
874,37,12000,12001,10.465000,611,145
875,37,12000,12001,7.039000,612,64
876,37,12000,12001,5.787000,613,48
878,37,12000,12001,17.433000,616,306
882,37,12000,12001,4.888000,617,24
888,37,12000,12001,5.791000,618,52
893,37,12000,12001,13.140000,620,206
900,37,12000,12001,10.011000,622,143
903,37,12000,12001,8.838000,623,125
905,37,12000,12001,371.646000,677,9462
908,37,12000,12001,218.136000,706,5062
916,37,12000,12001,16.026000,708,317
920,37,12000,12001,4.152000,709,29
923,37,12000,12001,5.132000,710,71
930,37,12000,12001,3.522000,711,15
938,37,12000,12001,3.846000,712,32
942,37,12000,12001,11.661000,713,217
943,37,12000,12001,5.714000,714,49
947,37,12000,12001,10.206000,715,165
948,37,12000,12001,6.892000,716,77
952,37,12000,12001,5.592000,717,59
953,37,12000,12001,11.236000,718,177
954,37,12000,12001,23.873000,720,576
961,37,12000,12001,13.680000,722,278
970,37,12000,12001,3.507000,723,12
971,37,12000,12001,33.255000,726,774
972,37,12000,12001,22.158000,728,479
973,37,12000,12001,27.444000,731,644
984,37,12000,12001,46.250000,737,1166
985,37,12000,12001,28.124000,739,638
986,37,12000,12001,26.347000,741,647
987,37,12000,12001,50.645000,745,1459
990,37,12000,12001,25.929000,748,661
991,37,12000,12001,20.347000,750,501
999,37,12000,12001,39.627000,755,987
1001,37,12000,12001,4.911000,756,51
1007,37,12000,12001,4.092000,757,13
1011,37,12000,12001,81.018000,764,2564
1014,37,12000,12001,3.149000,765,10
1017,37,12000,12001,57.482000,771,1691
1020,37,12000,12001,278.967000,797,9124
1026,37,12000,12001,2.513000,798,11
1028,37,12000,12001,2.918000,799,26
1029,37,12000,12001,5.508000,800,49
1030,37,12000,12001,3.206000,801,40
1034,37,12000,12001,3.517000,802,4
1035,37,12000,12001,6.137000,804,133
1037,37,12000,12001,3.365000,805,40
1040,37,12000,12001,3.987000,806,72
1043,37,12000,12001,3.032000,807,32
1047,37,12000,12001,2.072000,808,8
1048,37,12000,12001,34.286000,818,1026
1050,37,12000,12001,1.980000,819,2
1055,37,12000,12001,3.291000,820,41
1058,37,12000,12001,4.330000,821,67
