time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
93,43,12000,12001,10.944000,2,139
96,43,12000,12001,15.243000,3,363
102,43,12000,12001,3.339000,4,40
108,43,12000,12001,90.953000,7,2204
109,43,12000,12001,5.193000,8,114
111,43,12000,12001,22.915000,9,768
112,43,12000,12001,48.544000,12,1722
114,43,12000,12001,16.788000,13,521
116,43,12000,12001,26.313000,15,809
119,43,12000,12001,22.250000,16,735
120,43,12000,12001,16.011000,17,478
121,43,12000,12001,16.633000,18,460
126,43,12000,12001,8.383000,19,194
133,43,12000,12001,8.180000,20,188
136,43,12000,12001,52.880000,23,1658
139,43,12000,12001,3.050000,24,10
149,43,12000,12001,5.052000,25,91
152,43,12000,12001,4.853000,26,49
158,43,12000,12001,42.808000,29,1286
166,43,12000,12001,14.532000,30,390
176,43,12000,12001,19.705000,32,541
182,43,12000,12001,4.326000,33,41
184,43,12000,12001,24.687000,35,686
190,43,12000,12001,24.514000,37,710
195,43,12000,12001,8.716000,38,170
197,43,12000,12001,13.304000,39,332
203,43,12000,12001,10.555000,40,265
204,43,12000,12001,123.668000,48,3325
211,43,12000,12001,12.028000,50,285
216,43,12000,12001,6.112000,51,85
218,43,12000,12001,48.899000,56,1488
228,43,12000,12001,5.505000,57,90
230,43,12000,12001,172.234000,71,4820
236,43,12000,12001,2.834000,72,32
246,43,12000,12001,2.960000,73,36
255,43,12000,12001,7.746000,74,204
256,43,12000,12001,8.851000,75,243
257,43,12000,12001,14.178000,76,430
258,43,12000,12001,12.078000,78,327
265,43,12000,12001,3.862000,79,62
272,43,12000,12001,10.592000,80,258
279,43,12000,12001,14.595000,82,427
286,43,12000,12001,8.324000,83,206
287,43,12000,12001,21.072000,85,624
288,43,12000,12001,11.096000,86,257
289,43,12000,12001,49.740000,91,1550
294,43,12000,12001,2.539000,92,9
303,43,12000,12001,3.924000,93,45
308,43,12000,12001,114.605000,108,3794
315,43,12000,12001,1.971000,109,9
324,43,12000,12001,2.842000,110,24
327,43,12000,12001,2.747000,111,8
328,43,12000,12001,25.250000,115,781
331,43,12000,12001,2.203000,116,3
333,43,12000,12001,4.036000,117,75
335,43,12000,12001,10.876000,119,314
339,43,12000,12001,2.290000,120,11
344,43,12000,12001,26.908000,125,852
350,43,12000,12001,2.273000,126,16
352,43,12000,12001,3.027000,127,47
354,43,12000,12001,4.176000,128,89
356,43,12000,12001,48.346000,135,1591
358,43,12000,12001,4.808000,136,121
364,43,12000,12001,2.949000,137,37
368,43,12000,12001,5.510000,138,121
373,43,12000,12001,2.068000,139,14
375,43,12000,12001,4.766000,140,112
378,43,12000,12001,3.506000,141,51
382,43,12000,12001,5.943000,142,150
385,43,12000,12001,4.442000,143,92
392,43,12000,12001,9.927000,144,291
393,43,12000,12001,11.895000,146,325
395,43,12000,12001,11.483000,147,327
396,43,12000,12001,4.439000,148,60
405,43,12000,12001,12.204000,150,370
406,43,12000,12001,12.607000,151,352
408,43,12000,12001,15.039000,153,462
419,43,12000,12001,4.351000,154,79
420,43,12000,12001,22.631000,157,726
421,43,12000,12001,11.006000,158,293
424,43,12000,12001,27.448000,162,871
434,43,12000,12001,2.950000,163,39
438,43,12000,12001,127.444000,180,4522
446,43,12000,12001,2.071000,181,20
447,43,12000,12001,3.024000,182,40
449,43,12000,12001,2.153000,183,20
450,43,12000,12001,30.878000,188,1052
451,43,12000,12001,76.863000,200,2785
452,43,12000,12001,52.784000,209,1793
453,43,12000,12001,10.980000,210,183
458,43,12000,12001,47.246000,220,1664
459,43,12000,12001,20.427000,224,565
464,43,12000,12001,3.668000,225,16
466,43,12000,12001,8.770000,227,210
468,43,12000,12001,3.913000,228,4
472,43,12000,12001,4.273000,229,36
474,43,12000,12001,6.238000,230,85
477,43,12000,12001,5.797000,231,44
481,43,12000,12001,7.006000,232,133
484,43,12000,12001,3.458000,233,10
489,43,12000,12001,11.033000,235,250
494,43,12000,12001,4.968000,236,8
496,43,12000,12001,12.576000,238,343
497,43,12000,12001,12.365000,241,331
498,43,12000,12001,27.230000,245,801
499,43,12000,12001,16.913000,247,458
500,43,12000,12001,8.950000,248,147
507,43,12000,12001,4.271000,249,9
514,43,12000,12001,4.857000,250,24
519,43,12000,12001,4.881000,251,25
524,43,12000,12001,4.712000,252,19
529,43,12000,12001,9.524000,253,192
530,43,12000,12001,8.255000,254,154
531,43,12000,12001,9.695000,255,175
532,43,12000,12001,8.649000,256,156
533,43,12000,12001,5.621000,257,55
538,43,12000,12001,4.610000,258,11
543,43,12000,12001,10.082000,259,161
