time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
1626,99,12000,12001,18.061000,1,363
1700,62,12000,12001,10.675000,2,242
2070,21,12000,12001,2.480000,3,13
2616,11,12000,12001,1.841000,4,2
3143,4,12000,12001,1.406000,5,1
3468,7,12000,12001,1.710000,6,3
3867,5,12000,12001,0.944000,7,3
4561,137,12000,12001,9.332000,8,159
5227,31,12000,12001,2.187000,9,14
5648,265,12000,12001,9.525000,10,162
6070,63,12000,12001,4.972000,11,80
6605,3,12000,12001,1.338000,12,2
7083,14,12000,12001,1.889000,13,7
7450,19,12000,12001,1.696000,14,7
7918,10,12000,12001,1.585000,15,3
8399,4,12000,12001,1.026000,16,1
8687,2,12000,12001,0.629000,17,1
9088,88,12000,12001,10.081000,18,264
9466,7,12000,12001,1.751000,19,4
9887,97,12000,12001,3.735000,20,40
10275,36,12000,12001,3.673000,21,57
10623,137,12000,12001,9.022000,22,214
11063,19,12000,12001,1.792000,23,9
11527,18,12000,12001,2.357000,24,20
12005,53,12000,12001,3.421000,25,38
12374,5,12000,12001,1.441000,26,4
12655,144,12000,12001,14.787000,27,435
13171,2,12000,12001,0.677000,28,1
13391,78,12000,12001,4.900000,29,67
13686,33,12000,12001,2.189000,30,13
14027,22,12000,12001,2.422000,31,21
14419,35,12000,12001,2.611000,32,30
14910,9,12000,12001,1.701000,33,6
15240,5,12000,12001,1.346000,34,2
15788,5,12000,12001,1.430000,35,2
16238,364,12000,12001,8.609000,36,182
16602,519,12000,12001,13.755000,37,336
16895,22,12000,12001,2.311000,38,19
17180,208,12000,12001,8.603000,39,180
17709,27,12000,12001,2.471000,40,19
18108,347,12000,12001,11.832000,41,258
18651,5,12000,12001,1.557000,42,2
19125,98,12000,12001,4.382000,43,76
19441,65,12000,12001,3.599000,44,59
19835,2,12000,12001,0.794000,45,1
20227,236,12000,12001,4.481000,46,57
20623,96,12000,12001,4.054000,47,63
21058,44,12000,12001,2.094000,48,12
21643,7,12000,12001,1.533000,49,4
21986,14,12000,12001,1.781000,50,10
22544,3,12000,12001,0.806000,51,1
22967,29,12000,12001,2.221000,52,15
23440,34,12000,12001,2.585000,53,24
23880,47,12000,12001,3.670000,54,47
24300,6,12000,12001,1.500000,55,2
24758,6,12000,12001,1.613000,56,4
25147,4,12000,12001,0.707000,57,2
25695,19,12000,12001,2.115000,58,19
26160,2,12000,12001,0.851000,59,2
26604,12,12000,12001,1.882000,60,9
27161,77,12000,12001,3.411000,61,45
27517,158,12000,12001,14.100000,62,385
27920,22,12000,12001,2.000000,63,14
28310,32,12000,12001,2.024000,64,17
28673,10,12000,12001,1.024000,65,4
29102,367,12000,12001,7.430000,66,129
29516,38,12000,12001,2.528000,67,38
29757,15,12000,12001,2.192000,68,15
30053,112,12000,12001,4.551000,69,84
30450,239,12000,12001,7.709000,70,160
30858,36,12000,12001,2.682000,71,34
31251,1,12000,12001,0.547000,72,1
31715,21,12000,12001,1.987000,73,8
31966,102,12000,12001,5.821000,74,121
32412,61,12000,12001,3.768000,75,67
32808,52,12000,12001,4.035000,76,68
33131,96,12000,12001,6.182000,77,142
33545,47,12000,12001,3.084000,78,42
34052,88,12000,12001,9.406000,79,259
34424,38,12000,12001,3.060000,80,43
34863,3,12000,12001,1.210000,81,2
35255,4,12000,12001,1.306000,82,1
35715,1,12000,12001,0.579000,83,1
36195,35,12000,12001,2.064000,84,11
36527,23,12000,12001,1.566000,85,3
36900,179,12000,12001,6.117000,86,129
37163,212,12000,12001,7.531000,87,178
37454,247,12000,12001,9.053000,88,216
37875,2,12000,12001,0.772000,89,1
38252,35,12000,12001,1.921000,90,8
38703,31,12000,12001,2.031000,91,14
39016,17,12000,12001,2.001000,92,12
39477,115,12000,12001,5.608000,93,115
39944,68,12000,12001,4.954000,94,95
40246,184,12000,12001,6.024000,95,108
