---OutputTable---
time=990001
table_size=3258
[1] - <2 446 41266 > true count=1, estimated count=2681, Key=5959878
[2] - <6 1193 > true count=1, estimated count=2681, Key=652577
[3] - <1 3 689 > true count=3, estimated count=2681, Key=848423
[4] - <6 11 7775 > true count=1, estimated count=2682, Key=2061498
[5] - <6 11 58 77 > true count=4, estimated count=2681, Key=230766
[6] - <6 7 11 27 521 > true count=4, estimated count=2681, Key=1503394
[7] - <1 6 148 218 269 5243 > true count=3, estimated count=2681, Key=5134313
[8] - <1 6 467 473 > true count=4, estimated count=2682, Key=1519915
[9] - <3 6 11 148 218 1194 4441 15475 > true count=1, estimated count=2682, Key=2335900
[10] - <6 205 446 > true count=4, estimated count=2682, Key=660275
[11] - <6 11 64 2828 > true count=1, estimated count=2681, Key=5720883
[12] - <1 6 11 148 1044 2251 4807 > true count=2, estimated count=2681, Key=2494300
[13] - <1 17731 > true count=1, estimated count=2681, Key=2198858
[14] - <6 71 531 > true count=2, estimated count=2681, Key=691442
[15] - <6 11 6116 16688 > true count=1, estimated count=2681, Key=3281771
[16] - <6 7 11 40 83 378 446 506 535 659 665 1772 13194 > true count=1, estimated count=2682, Key=5697974
[17] - <27 41269 > true count=1, estimated count=2682, Key=74170
[18] - <6 3723 3776 11702 > true count=1, estimated count=2682, Key=7499277
[19] - <3 6 11 499 886 3003 15744 27158 > true count=1, estimated count=2682, Key=1332050
[20] - <1 6 11 27 56 77 135 155 344 364 438 741 1044 1618 2050 5588 22473 > true count=1, estimated count=2682, Key=1212496
[21] - <3 6 11 3262 > true count=1, estimated count=2682, Key=6517970
[22] - <6 621 39461 > true count=1, estimated count=2681, Key=3837262
[23] - <6 7 3224 > true count=2, estimated count=2681, Key=3966131
[24] - <3 6 11 148 218 261 > true count=3, estimated count=2681, Key=1845691
[25] - <462 > true count=1, estimated count=2681, Key=462
[26] - <2887 > true count=2, estimated count=2681, Key=2887
[27] - <1 6 1077 4597 > true count=3, estimated count=2681, Key=2988737
[28] - <6 27 87 205 1956 > true count=5, estimated count=2681, Key=5907307
[29] - <1 6 1504 > true count=3, estimated count=2681, Key=1851699
[30] - <14486 > true count=1, estimated count=2681, Key=14486
[31] - <1 6 7 11 148 218 255 > true count=11, estimated count=2681, Key=2348674
[32] - <6 1945 > true count=2, estimated count=2682, Key=1063921
[33] - <6 622 > true count=1, estimated count=2682, Key=340240
[34] - <1 6 11 14 55 64 77 102 104 148 218 397 629 1460 1716 2057 3195 > true count=1, estimated count=2682, Key=1290868
[35] - <6 40 61 62 64 106 552 584 644 657 928 1074 1175 1663 2416 2419 2455 2878 3086 3185 3399 4065 5744 6336 6499 7245 8376 8379 8891 > true count=1, estimated count=2682, Key=4081799
[36] - <1 3 4 472 > true count=2, estimated count=2682, Key=947254
[37] - <6 11 239 5534 8181 > true count=1, estimated count=2682, Key=3818585
[38] - <3 6 11 69 71 667 1000 > true count=1, estimated count=2682, Key=7159027
[39] - <3 6 11 1748 > true count=2, estimated count=2682, Key=3500568
[40] - <3 6 11 83 85 > true count=84, estimated count=2682, Key=415888
[41] - <1 3 6 40 148 218 > true count=4, estimated count=2682, Key=1276246
[42] - <6 11 302 > true count=1, estimated count=2682, Key=377181
[43] - <6 11 56 148 218 512 > true count=4, estimated count=2682, Key=2802565
[44] - <269 10260 > true count=1, estimated count=2681, Key=5612489
[45] - <2 6 7 40 > true count=2, estimated count=2681, Key=91607
[46] - <6 11 314 438 1044 2876 4617 > true count=2, estimated count=2681, Key=4845532
[47] - <1 316 483 19407 > true count=1, estimated count=2681, Key=1944611
[48] - <3 6 7 11 3508 > true count=2, estimated count=2681, Key=2177303
[49] - <3 446 656 > true count=1, estimated count=2681, Key=1050189
[50] - <6 7 11 27 28 32 278 1050 1932 2226 > true count=1, estimated count=2681, Key=5285375
[51] - <1 3 6 11 40 1019 1752 3322 > true count=1, estimated count=2681, Key=4038852
[52] - <6 492 1065 > true count=1, estimated count=2681, Key=1578015
[53] - <6 148 218 232 255 > true count=3, estimated count=2681, Key=1512255
[54] - <1 4133 > true count=2, estimated count=2681, Key=2260752
[55] - <1 6 71 6567 > true count=3, estimated count=2681, Key=5678573
[56] - <6 3820 > true count=7, estimated count=2681, Key=2089546
[57] - <6 7 11 77 531 > true count=2, estimated count=2681, Key=1630534
[58] - <3 6 2886 > true count=9, estimated count=2681, Key=3550179
[59] - <6 11 3317 > true count=2, estimated count=2681, Key=4082616
[60] - <7 27 276 897 2885 4504 > true count=3, estimated count=2681, Key=3701390
[61] - <6 11 314 378 1644 2024 > true count=1, estimated count=2681, Key=5412583
[62] - <3 1174 > true count=4, estimated count=2681, Key=642181
[63] - <6 7 83 148 218 934 > true count=2, estimated count=2681, Key=4344742
[64] - <6 13619 > true count=1, estimated count=2682, Key=7449599
[65] - <1 6 49 438 > true count=5, estimated count=2682, Key=936438
[66] - <6 2850 > true count=9, estimated count=2682, Key=1558956
[67] - <3 2081 > true count=1, estimated count=2682, Key=1138310
[68] - <6 7 11 27 28 32 83 > true count=3, estimated count=2682, Key=629672
[69] - <27 294 > true count=36, estimated count=2682, Key=160845
[70] - <3 6 11 21 502 508 1063 3227 5106 5688 11010 > true count=1, estimated count=2682, Key=2187017
[71] - <1 3 87 > true count=33, estimated count=2681, Key=108565
[72] - <1 218 2344 > true count=1, estimated count=2681, Key=3000023
[73] - <4 2342 4602 > true count=1, estimated count=2682, Key=6936936
[74] - <3 6 11 617 > true count=1, estimated count=2682, Key=1246485
[75] - <6 231 490 > true count=1, estimated count=2682, Key=728573
[76] - <6 11 148 218 340 766 817 987 1752 2878 > true count=1, estimated count=2682, Key=4908445
[77] - <934 17589 > true count=1, estimated count=2682, Key=2122117
[78] - <4 6 11 504 > true count=2, estimated count=2682, Key=1021277
[79] - <218 882 > true count=24, estimated count=2682, Key=482672
[80] - <1 6 11 90 148 218 469 > true count=2, estimated count=2682, Key=3457131
[81] - <6 11 135 148 218 514 > true count=3, estimated count=2682, Key=2906818
[82] - <3 6 27 40 > true count=4, estimated count=2682, Key=116188
[83] - <6 11 146 154 357 8524 > true count=1, estimated count=2682, Key=1998216
[84] - <6 7 14 27 49 184 205 667 1956 > true count=2, estimated count=2682, Key=2845361
[85] - <490 7424 > true count=1, estimated count=2682, Key=4061418
[86] - <1 6 11 56 688 > true count=2, estimated count=2682, Key=2019722
[87] - <6 11 4263 > true count=1, estimated count=2682, Key=5245250
[88] - <3317 4561 > true count=1, estimated count=2682, Key=2498184
[89] - <6 11 1034 26040 > true count=1, estimated count=2681, Key=674529
[90] - <4 550 > true count=1, estimated count=2681, Key=300854
[91] - <6 11 6302 > true count=5, estimated count=2681, Key=251181
[92] - <1 6 2103 > true count=1, estimated count=2681, Key=2587870
[93] - <6 11 27 218 321 3552 > true count=2, estimated count=2681, Key=6575821
[94] - <3 6 1868 > true count=4, estimated count=2681, Key=2299057
[95] - <6 1065 4365 > true count=1, estimated count=2681, Key=5947146
[96] - <3 6 77 423 470 20033 > true count=1, estimated count=2681, Key=6471160
[97] - <1 6 11 316 980 > true count=3, estimated count=2681, Key=3340610
[98] - <6 11 8148 10385 > true count=1, estimated count=2681, Key=717220
[99] - <1 3 11 3347 4588 5797 7404 > true count=1, estimated count=2681, Key=5290285
[100] - <6 205 1956 2817 > true count=6, estimated count=2681, Key=630346
[101] - <3 6 2186 > true count=1, estimated count=2681, Key=2689879
[102] - <3922 > true count=2, estimated count=2681, Key=3922
[103] - <3 4 380 > true count=1, estimated count=2681, Key=469211
[104] - <18215 > true count=1, estimated count=2681, Key=18215
[105] - <4 6 6221 > true count=1, estimated count=2681, Key=148895
[106] - <6 205 1052 1956 > true count=7, estimated count=2681, Key=5303357
[107] - <1909 > true count=2, estimated count=2681, Key=1909
[108] - <6 2143 3011 > true count=2, estimated count=2681, Key=4872746
[109] - <1 6 1905 > true count=2, estimated count=2681, Key=2344528
[110] - <6 633 1077 > true count=3, estimated count=2681, Key=1669890
[111] - <1 1023 > true count=3, estimated count=2681, Key=559582
[112] - <6 3558 > true count=6, estimated count=2681, Key=1946232
[113] - <6 135 136 1101 > true count=4, estimated count=2681, Key=2435288
[114] - <6 432 5442 13236 > true count=1, estimated count=2681, Key=3303876
[115] - <6 7789 > true count=2, estimated count=2681, Key=4260589
