time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
34,73,12000,12001,57.152000,3,639
35,73,12000,12001,18.680000,4,621
36,74,12000,12001,190.345000,7,4613
37,74,12000,12001,50.491000,8,1703
38,73,12000,12001,20.683000,9,623
39,73,12000,12001,48.134000,10,1603
43,73,12000,12001,349.642000,16,9447
46,74,12000,12001,11.857000,17,347
47,74,12000,12001,46.797000,19,1578
48,74,12000,12001,134.759000,22,4805
50,73,12000,12001,251.636000,30,9234
52,73,12000,12001,1.464000,31,2
53,74,12000,12001,197.764000,36,7095
57,74,12000,12001,139.383000,39,5011
59,73,12000,12001,52.677000,42,1917
62,73,12000,12001,1.414000,43,4
65,73,12000,12001,1.680000,44,18
67,74,12000,12001,1.748000,45,22
68,73,12000,12001,1.611000,46,23
69,74,12000,12001,1.913000,47,24
71,73,12000,12001,1.400000,48,5
73,73,12000,12001,7.554000,52,262
78,73,12000,12001,385.121000,60,11997
79,74,12000,12001,2.549000,61,1
81,73,12000,12001,3.251000,62,41
84,74,12000,12001,2.602000,63,15
86,73,12000,12001,2.502000,64,22
87,74,12000,12001,3.956000,65,62
90,73,12000,12001,6.586000,67,168
93,74,12000,12001,2.097000,68,10
94,74,12000,12001,4.169000,69,84
96,73,12000,12001,70.613000,73,2191
98,73,12000,12001,2.010000,74,7
100,73,12000,12001,1.889000,75,6
101,73,12000,12001,1.909000,76,7
102,74,12000,12001,1.931000,77,7
103,74,12000,12001,1.886000,78,5
105,74,12000,12001,3.194000,80,45
106,73,12000,12001,6.975000,81,167
109,74,12000,12001,2.101000,82,8
110,73,12000,12001,2.297000,83,15
111,74,12000,12001,2.380000,84,21
113,74,12000,12001,2.049000,85,8
114,74,12000,12001,2.240000,86,18
115,73,12000,12001,2.068000,87,10
117,74,12000,12001,2.874000,88,32
118,74,12000,12001,2.464000,89,26
119,74,12000,12001,390.357000,97,11996
120,73,12000,12001,2.317000,98,1
121,74,12000,12001,1.857000,99,2
122,74,12000,12001,1.828000,100,3
123,74,12000,12001,1.801000,101,2
125,73,12000,12001,2.357000,102,4
129,73,12000,12001,2.893000,103,27
130,74,12000,12001,2.670000,104,21
