---OutputTable---
time=49045
table_size=1267
[1] - <180 184 4426 4428 4432 4940 7062 7112 > true count=164, estimated count=42513, Key=467308
[2] - <15 17 61 68 74 84 124 158 161 167 168 170 180 184 188 197 210 260 265 277 295 348 1320 2299 2301 2401 3403 3404 4404 4413 4414 4426 4428 4430 4432 4434 4436 4438 4440 4493 4496 4499 4502 4505 4518 4525 4567 4680 4780 4786 4799 4815 4853 4933 4937 4940 4946 5784 6113 6857 6867 6917 6962 7026 7036 7046 7056 7062 7072 7082 7092 7102 7114 > true count=1, estimated count=42514, Key=6893904
[3] - <180 184 4426 4428 4432 4436 7062 7112 > true count=135, estimated count=42513, Key=6162484
[4] - <170 180 184 4428 4432 4434 4436 4438 7062 7102 > true count=166, estimated count=42517, Key=1918758
[5] - <180 184 4428 4434 4438 7092 7102 > true count=207, estimated count=42515, Key=874258
[6] - <170 180 184 4426 4432 4436 7062 7112 > true count=135, estimated count=42514, Key=942882
[7] - <180 184 7102 7112 > true count=309, estimated count=42514, Key=503402
[8] - <170 180 184 188 4428 4438 4940 7062 7102 > true count=165, estimated count=42517, Key=1996096
[9] - <180 184 4426 4428 4432 4434 4438 7062 7102 > true count=184, estimated count=42517, Key=5939362
[10] - <170 180 184 4432 4436 4438 4940 7062 7102 > true count=167, estimated count=42518, Key=2976380
[11] - <15 17 84 161 167 168 170 180 184 188 197 260 265 277 3403 3404 4404 4430 4432 4434 4436 4438 4499 4502 4940 6857 6867 7062 7072 7082 7102 > true count=3, estimated count=42516, Key=2253457
[12] - <180 184 4426 4432 4434 7092 7112 > true count=304, estimated count=42514, Key=901028
[13] - <170 180 184 188 4426 4436 7062 7112 > true count=309, estimated count=42514, Key=7480054
[14] - <180 184 260 265 4426 4438 7112 > true count=309, estimated count=42518, Key=450217
[15] - <180 184 4426 4428 4432 4940 7062 7102 > true count=166, estimated count=42515, Key=467298
[16] - <4426 4428 4432 4434 4940 7112 > true count=13840, estimated count=42522, Key=3258564
[17] - <4426 4438 7102 7112 > true count=11310, estimated count=42521, Key=2834586
[18] - <180 184 188 4426 4430 7112 > true count=309, estimated count=42519, Key=1799040
[19] - <260 265 4426 4434 4438 4940 7062 > true count=2088, estimated count=42524, Key=533035
[20] - <17 170 180 184 260 265 4436 7062 7092 > true count=116, estimated count=42525, Key=3342586
[21] - <3404 4404 4436 4438 4940 > true count=3048, estimated count=42525, Key=289230
[22] - <17 188 4432 4438 4940 7062 > true count=1188, estimated count=42524, Key=763797
[23] - <15 17 84 161 167 168 170 180 184 188 197 260 265 277 3403 3404 4404 4430 4432 4434 4436 4438 4499 4502 4940 6857 6867 7062 7082 7102 > true count=4, estimated count=42517, Key=1036049
[24] - <17 180 184 4426 7092 7112 > true count=304, estimated count=42514, Key=1609611
[25] - <170 180 184 188 4428 4436 7112 > true count=295, estimated count=42514, Key=199490
[26] - <170 180 184 4426 4432 4436 4940 7062 7102 > true count=165, estimated count=42515, Key=2946264
[27] - <170 180 184 188 4428 4436 4940 7062 7102 > true count=165, estimated count=42515, Key=1988934
[28] - <180 184 188 260 265 4436 4438 7062 7092 > true count=117, estimated count=42526, Key=3470645
[29] - <170 180 184 260 265 4438 7112 > true count=309, estimated count=42525, Key=3906061
[30] - <170 180 184 4428 4436 4438 4940 7062 7102 > true count=166, estimated count=42516, Key=2968408
[31] - <180 184 188 4436 4940 7062 7092 7102 > true count=115, estimated count=42522, Key=4402744
[32] - <17 4426 4432 4438 4940 > true count=2615, estimated count=42525, Key=292961
[33] - <260 265 4428 4438 7112 > true count=3571, estimated count=42524, Key=3983049
[34] - <170 180 184 260 265 3404 4404 4432 4438 > true count=553, estimated count=42530, Key=5663257
[35] - <17 188 4426 4428 4438 4940 > true count=3049, estimated count=42529, Key=6757613
[36] - <17 170 180 184 188 4426 4438 7112 > true count=304, estimated count=42516, Key=6674767
