time,transaction_length,table_size,stack_size,updating_time,delta,deleted_entries
336,23,12000,12001,22.431000,2,465
382,23,12000,12001,7.648000,3,150
450,23,12000,12001,10.868000,4,245
508,23,12000,12001,3.809000,5,47
575,23,12000,12001,2.985000,6,12
633,23,12000,12001,27.034000,7,653
685,23,12000,12001,7.471000,8,168
732,23,12000,12001,6.906000,9,130
787,23,12000,12001,2.621000,10,11
846,23,12000,12001,3.609000,11,39
896,23,12000,12001,2.758000,12,12
936,23,12000,12001,3.478000,13,31
958,23,12000,12001,5.311000,14,78
981,23,12000,12001,5.592000,15,104
1018,23,12000,12001,3.481000,16,41
1048,23,12000,12001,3.329000,17,36
1074,23,12000,12001,3.682000,18,47
1112,23,12000,12001,3.118000,19,29
1137,23,12000,12001,7.214000,20,156
1150,23,12000,12001,2.388000,21,10
1183,23,12000,12001,2.840000,22,21
1218,23,12000,12001,3.289000,23,25
1243,23,12000,12001,2.878000,24,25
1259,23,12000,12001,2.503000,25,11
1287,23,12000,12001,2.717000,26,12
1308,23,12000,12001,2.453000,27,8
1333,23,12000,12001,2.569000,28,7
1363,23,12000,12001,2.644000,29,11
1390,23,12000,12001,3.067000,30,25
1425,23,12000,12001,3.281000,31,20
1460,23,12000,12001,2.679000,32,13
1489,23,12000,12001,2.545000,33,8
1521,23,12000,12001,2.590000,34,8
1553,23,12000,12001,2.756000,35,15
1584,23,12000,12001,2.537000,36,4
1613,23,12000,12001,5.447000,37,119
1648,23,12000,12001,2.476000,38,9
1676,23,12000,12001,2.652000,39,14
1709,23,12000,12001,2.641000,40,9
1742,23,12000,12001,2.690000,41,7
1771,23,12000,12001,2.752000,42,14
1801,23,12000,12001,3.956000,43,45
1817,23,12000,12001,4.707000,44,95
1849,23,12000,12001,4.983000,45,91
1878,23,12000,12001,3.292000,46,30
1909,23,12000,12001,2.520000,47,13
1943,23,12000,12001,3.125000,48,26
1973,23,12000,12001,2.944000,49,20
2010,23,12000,12001,2.712000,50,13
2040,23,12000,12001,2.789000,51,11
2066,23,12000,12001,2.883000,52,13
2097,23,12000,12001,5.251000,53,86
2119,23,12000,12001,2.564000,54,9
2144,23,12000,12001,3.428000,55,25
2169,23,12000,12001,2.749000,56,9
2195,23,12000,12001,2.870000,57,23
2211,23,12000,12001,7.215000,58,169
2245,23,12000,12001,3.141000,59,10
2274,23,12000,12001,3.137000,60,16
2294,23,12000,12001,3.055000,61,13
2326,23,12000,12001,2.953000,62,16
2355,23,12000,12001,2.849000,63,10
2392,23,12000,12001,3.171000,64,14
2438,23,12000,12001,3.491000,65,17
2466,23,12000,12001,2.864000,66,4
2500,23,12000,12001,3.713000,67,28
2533,23,12000,12001,3.113000,68,9
2555,23,12000,12001,3.513000,69,15
2583,23,12000,12001,2.958000,70,8
2617,23,12000,12001,3.016000,71,8
2629,23,12000,12001,2.777000,72,8
2668,23,12000,12001,2.736000,73,11
2688,23,12000,12001,3.785000,74,12
2723,23,12000,12001,2.599000,75,6
2750,23,12000,12001,6.239000,76,122
2784,23,12000,12001,2.865000,77,13
2812,23,12000,12001,2.684000,78,8
2842,23,12000,12001,4.698000,79,58
2875,23,12000,12001,2.765000,80,7
2913,23,12000,12001,3.369000,81,23
2942,23,12000,12001,3.107000,82,15
2973,23,12000,12001,2.888000,83,5
3003,23,12000,12001,2.858000,84,22
3024,23,12000,12001,3.108000,85,21
3047,23,12000,12001,3.085000,86,4
3076,23,12000,12001,3.152000,87,22
3106,23,12000,12001,2.936000,88,13
3144,23,12000,12001,2.707000,89,13
3171,23,12000,12001,2.767000,90,14
3203,23,12000,12001,3.102000,91,12
3236,23,12000,12001,2.404000,92,4
3271,23,12000,12001,2.898000,93,13
3306,23,12000,12001,2.738000,94,10
3340,23,12000,12001,2.454000,95,6
3370,23,12000,12001,2.475000,96,8
3421,23,12000,12001,3.313000,97,12
3454,23,12000,12001,2.725000,98,8
3494,23,12000,12001,2.707000,99,8
3529,23,12000,12001,2.750000,100,9
3571,23,12000,12001,3.127000,101,25
3605,23,12000,12001,2.722000,102,13
3647,23,12000,12001,2.712000,103,3
3693,23,12000,12001,3.041000,104,7
3732,23,12000,12001,2.983000,105,14
3771,23,12000,12001,3.286000,106,16
3809,23,12000,12001,2.540000,107,7
3851,23,12000,12001,3.109000,108,18
3896,23,12000,12001,2.897000,109,13
3926,23,12000,12001,2.752000,110,10
3956,23,12000,12001,2.866000,111,15
3960,23,12000,12001,14.606000,112,445
3985,23,12000,12001,8.688000,113,248
3997,23,12000,12001,10.192000,114,297
4015,23,12000,12001,2.547000,115,10
4024,23,12000,12001,6.716000,116,170
4033,23,12000,12001,2.291000,117,7
4054,23,12000,12001,2.714000,118,11
4076,23,12000,12001,2.732000,119,12
4091,23,12000,12001,2.369000,120,7
4103,23,12000,12001,2.895000,121,14
4107,23,12000,12001,14.459000,124,470
4124,23,12000,12001,2.043000,125,5
4136,23,12000,12001,2.447000,126,13
4144,23,12000,12001,9.314000,127,200
4157,23,12000,12001,2.248000,128,4
4175,23,12000,12001,2.793000,129,19
4192,23,12000,12001,2.145000,130,10
4197,23,12000,12001,6.649000,131,144
4204,23,12000,12001,5.955000,132,128
4214,23,12000,12001,2.084000,133,7
4217,23,12000,12001,5.334000,134,98
4232,23,12000,12001,2.378000,135,14
4243,23,12000,12001,2.394000,136,12
4258,23,12000,12001,2.513000,137,16
4268,23,12000,12001,2.158000,138,12
4279,23,12000,12001,2.418000,139,17
4284,23,12000,12001,10.691000,140,328
4292,23,12000,12001,3.843000,141,78
4302,23,12000,12001,1.930000,142,6
4313,23,12000,12001,2.084000,143,12
4325,23,12000,12001,2.099000,144,13
4327,23,12000,12001,12.493000,145,295
4332,23,12000,12001,6.020000,146,161
4344,23,12000,12001,1.936000,147,10
4352,23,12000,12001,2.022000,148,12
4358,23,12000,12001,5.106000,149,117
4365,23,12000,12001,6.400000,150,174
4371,23,12000,12001,1.815000,151,5
4377,23,12000,12001,7.112000,152,161
4381,23,12000,12001,3.930000,153,64
4392,23,12000,12001,1.997000,154,12
4397,23,12000,12001,2.464000,155,23
